PSLT016	PSLT017	985
PSLT017	PSLT016	985
PSLT039	PSLT041	952
PSLT041	PSLT039	952
PSLT041	STM2924	941
PSLT043	PSLT044	963
PSLT044	PSLT043	963
PSLT052	PSLT053	962
PSLT053	PSLT052	962
PSLT054	PSLT055	994
PSLT054	STM1998	950
PSLT055	PSLT054	994
PSLT055	STM1997	940
PSLT079	PSLT080	965
PSLT079	PSLT081	979
PSLT079	PSLT092	921
PSLT080	PSLT079	965
PSLT080	PSLT081	961
PSLT081	PSLT079	979
PSLT081	PSLT080	961
PSLT081	PSLT091	925
PSLT081	PSLT092	941
PSLT088	PSLT091	985
PSLT088	PSLT092	985
PSLT088	PSLT094	966
PSLT088	PSLT095	922
PSLT088	PSLT097	932
PSLT088	PSLT100	904
PSLT091	PSLT081	925
PSLT091	PSLT088	985
PSLT091	PSLT092	992
PSLT091	PSLT094	981
PSLT091	PSLT095	930
PSLT091	PSLT097	959
PSLT091	PSLT100	946
PSLT092	PSLT079	921
PSLT092	PSLT081	941
PSLT092	PSLT088	985
PSLT092	PSLT091	992
PSLT092	PSLT094	977
PSLT092	PSLT095	931
PSLT092	PSLT097	962
PSLT092	PSLT100	953
PSLT094	PSLT088	966
PSLT094	PSLT091	981
PSLT094	PSLT092	977
PSLT094	PSLT095	934
PSLT094	PSLT097	945
PSLT094	PSLT100	910
PSLT095	PSLT088	922
PSLT095	PSLT091	930
PSLT095	PSLT092	931
PSLT095	PSLT094	934
PSLT095	PSLT097	953
PSLT097	PSLT088	932
PSLT097	PSLT091	959
PSLT097	PSLT092	962
PSLT097	PSLT094	945
PSLT097	PSLT095	953
PSLT097	PSLT100	963
PSLT097	PSLT101	901
PSLT097	PSLT104	906
PSLT100	PSLT088	904
PSLT100	PSLT091	946
PSLT100	PSLT092	953
PSLT100	PSLT094	910
PSLT100	PSLT097	963
PSLT100	PSLT101	976
PSLT100	PSLT104	919
PSLT101	PSLT097	901
PSLT101	PSLT100	976
PSLT104	PSLT097	906
PSLT104	PSLT100	919
PSLT106	PSLT107	981
PSLT106	STM3034	913
PSLT107	PSLT106	981
PSLT108	PSLT110	946
PSLT110	PSLT108	946
STM0002	STM0003	999
STM0002	STM0004	998
STM0002	STM2369	934
STM0002	STM2489	937
STM0002	STM3532	915
STM0002	STM3539	922
STM0003	STM0002	999
STM0003	STM0004	999
STM0003	STM4100	940
STM0003	STM4101	965
STM0003	STM4220	938
STM0004	STM0002	998
STM0004	STM0003	999
STM0004	STM0091	901
STM0004	STM0163	903
STM0004	STM0934	940
STM0004	STM0977	957
STM0004	STM3244	913
STM0004	STM3905	929
STM0004	STM4220	949
STM0007	STM1326	900
STM0007	STM2141	910
STM0007	STM2474	952
STM0007	STM3068	901
STM0007	STM3076	953
STM0007	STM3704	921
STM0007	STM4062	905
STM0007	STM4221	957
STM0007	STM4415	926
STM0007	STM4567	910
STM0008	STM0802	971
STM0008	STM0804	989
STM0008	STM0806	991
STM0008	STM0846	999
STM0012	STM0013	996
STM0012	STM1112	953
STM0012	STM2681	999
STM0012	STM4330	992
STM0013	STM0012	996
STM0013	STM0659	949
STM0013	STM2539	976
STM0013	STM2681	993
STM0022	STM0023	965
STM0022	STM0024	950
STM0022	STM0025	964
STM0022	STM0026	950
STM0023	STM0022	965
STM0023	STM0024	904
STM0023	STM0025	966
STM0023	STM0026	951
STM0023	STM0027	951
STM0024	STM0022	950
STM0024	STM0023	904
STM0024	STM0025	952
STM0024	STM0026	944
STM0024	STM0027	926
STM0025	STM0022	964
STM0025	STM0023	966
STM0025	STM0024	952
STM0025	STM0027	951
STM0026	STM0022	950
STM0026	STM0023	951
STM0026	STM0024	944
STM0026	STM0027	966
STM0027	STM0023	951
STM0027	STM0024	926
STM0027	STM0025	951
STM0027	STM0026	966
STM0039	STM0040	945
