3R5.1	29.6785768576
6R55.2	26.1171476347
AC3.1	16.3232172717
AC3.2	16.0264315031
AC3.3	218.196897057
AC3.4	11.8714307431
AC3.6	10.2687875927
AC3.7	12.0495022042
AC3.8	17.2135745774
AC7.3	26.4139334033
AC8.7	17.510360346
AC8.3	13.3553595859
AC8.4	15.1360741974
AH10.1	12.7617880488
AH10.2	26.4139334033
AH10.3	18.6975034203
AH10.4	24.3364330233
AH6.1	28.4914337833
AH6.10	22.5557184118
AH6.11	25.226790329
AH6.12	23.149289949
AH6.14	24.6332187918
AH6.2	59.6539394838
AH6.3	9.85328751673
AH6.4	22.2589326432
AH6.6	20.4782180318
AH6.7	23.7428614861
AH6.8	20.7750038003
B0001.2	16.3232172717
B0001.4	54.7272957255
B0001.5	21.9027897209
B0001.7	27.8978622462
B0019.1	36.5046495349
B0024.1	225.319755503
B0024.11	64.1057260125
B0024.12	43.0339364436
B0024.2	26.4139334033
B0024.3	26.1171476347
B0024.4	23.7428614861
B0024.6	11.9307878968
B0034.1	22.8525041804
B0034.2	18.9942891889
B0034.4	26.7107191719
B0034.5	20.4782180318
B0035.13	149.045812979
B0035.15	69.4478698469
B0035.2	14.4237883528
B0035.3	35.0800778457
B0035.6	18.6381462666
B0041.1	10.6842876687
B0041.3	72.4157275326
B0041.5	106.546090919
B0041.7	43.5087936733
B0047.2	25.226790329
B0047.3	37.9885783778
B0047.4	18.6975034203
B0198.1	47.4857229722
B0205.4	13.9489311231
B0205.5	13.9489311231
B0205.6	57.8732248724
B0205.7	231.196113721
B0205.8	21.3092181838
B0205.9	31.6373629302
B0207.1	16.9167888088
B0207.10	14.5425026602
B0207.11	18.4007176517
B0207.4	28.0165765536
B0207.5	9.37843028701
B0207.6	15.1954313511
B0207.7	13.0585738174
B0207.8	13.3553595859
B0207.9	24.3364330233
B0212.1	48.3760802779
B0212.2	17.510360346
B0212.3	10.2687875927
B0212.5	70.3382271526
B0213.10	11.6340021282
B0213.12	9.55650174816
B0213.14	33.4180775417
B0213.16	10.3281447465
B0213.2	69.3291555394
