ORF	Protein Molecules/Cell
YAL001C	124.5101173897
YAL002W	736.4646183164
YAL005C	268716.516010118
YAL007C	26271.8474288246
YAL008W	1923.0602612185
YAL009W	861.1434606989
YAL010C	768.1027686178
YAL011W	1377.3307374126
YAL012W	38300.9854262458
YAL016W	16919.4205695191
YAL017W	966.5968624001
YAL019W	6796.7131902858
YAL021C	2779.0500218729
YAL022C	216.6344940172
YAL023C	6512.4366978056
YAL024C	304.4944943085
YAL026C	606.1982940209
YAL027W	1169.4302239778
YAL029C	2205.3455177275
YAL031C	227.3863713166
YAL032C	1674.5086087869
YAL033W	2229.4504274232
YAL034W-A	2606.8824065397
YAL035W	13406.2243079489
YAL036C	11733.3664574594
YAL038W	290834.322978762
YAL039C	3870.0743306775
YAL041W	1010.9007026597
YAL043C	3730.6713721085
YAL044C	3507.9587258202
YAL044W-A	238.0117922074
YAL046C	258.9158930092
YAL047C	639.376548517
YAL049C	1797.0840343749
YAL051W	92.2965636579
YAL053W	414.1154570885
YAL054C	2892.3446668149
YAL055W	258.9158930092
YAL058W	4760.1624466479
YAL059W	2835.839686762
YAL060W	8733.0189200744
YAL061W	3087.9864908976
YAR002C-A	20675.3770604199
YAR002W	4590.2814139267
YAR003W	906.7142854482
YAR007C	4099.8303023775
YAR009C	2217.4062125876
YAR014C	538.4095771344
YAR015W	4276.9681590959
YAR019C	238.0117922074
YAR027W	1694.6848986276
YAR028W	1835.1038353991
YAR031W	258.9158930092
YAR044W	845.8189247369
YAR064W	1524.8431866141
YAR071W	1458.2587545042
YBL001C	1898.0350165331
YBL002W	443201.260870244
YBL003C	32072.8497641304
YBL005W	166.3923354344
YBL007C	951.7158018827
YBL008W	845.8189247369
YBL010C	1322.7104933797
YBL011W	1054.7212022
YBL013W	1069.2258916953
YBL014C	237.4156906609
YBL015W	4888.8214375272
YBL016W	8476.47986313
YBL017C	7205.8150518865
YBL018C	4867.3045204662
YBL019W	414.1154570885
YBL021C	2513.8880793775
YBL022C	14538.9762245642
YBL023C	1687.0462824508
YBL024W	16134.3357279305
YBL026W	2205.3455177275
YBL027W	225358.681105854
YBL028C	6208.7545226607
YBL029C-A	996.1880404995
YBL031W	264.0748720016
YBL032W	15576.2846605188
YBL033C	9516.6737263717
YBL034C	521.1316998811
YBL035C	11222.1305727895
YBL036C	4888.8214375272
YBL037W	1590.7038243054
YBL038W	2881.0660397284
YBL039C	57600.0407691744
YBL045C	19342.6218913988
YBL046W	1010.9007026597
YBL047C	1377.3307374126
YBL051C	4632.5721282586
YBL054W	830.424216702
YBL055C	1458.2587545042
YBL056W	19673.2257191452
YBL057C	2193.2682071823
YBL058W	3198.3843544029
YBL059C-A	279.4032573719
YBL059W	622.8430059684
YBL061C	2583.7131248016
YBL063W	56.8663855886
YBL064C	4506.0615816521
YBL067C	124.5101173897
YBL068W	5281.1040957496
YBL071W-A	8399.9817240496
YBL072C	15947.642907744
YBL074C	7327.5891042193
YBL075C	6441.958020886
YBL076C	23281.9405077279
YBL078C	2010.0156923387
YBL079W	1564.4434529865
YBL080C	1390.9002255948
YBL084C	593.4738722502
YBL085W	1040.1661565026
YBL086C	395.6283435379
YBL090W	1267.5166553821
YBL091C	1083.6812483905
YBL091C-A	357.9774132475
YBL093C	6116.2223169171
YBL095W	704.4806631731
YBL097W	704.4806631731
YBL098W	555.5490567277
YBL099W	41519.7347185551
YBL101C	799.4163217257
YBL102W	279.4032573719
YBL103C	1054.7212022
YBL104C	183.5170762204
YBL107C	768.1027686178
YBL111C	279.4032573719
YBR001C	2502.2033529619
YBR002C	8965.9199128082
YBR003W	1564.4434529865
YBR007C	376.9212091513
YBR009C	523616.444007986
YBR010W	213288.602363773
YBR011C	68410.6303467315
YBR015C	6725.2917211808
YBR016W	1758.8607802603
YBR017C	2132.6275242022
YBR022W	1169.4302239778
YBR023C	1511.5857252334
YBR024W	1484.9824628795
YBR025C	36802.5682348212
YBR026C	1564.4434529865
YBR028C	1471.6358688915
YBR030W	7883.0452693099
YBR034C	37569.7114342762
YBR037C	2548.8607545617
YBR039W	28103.8177061441
YBR041W	16887.795876719
YBR042C	2010.0156923387
YBR043C	279.4032573719
YBR047W	2156.9351936424
YBR048W	1197.6594091073
YBR049C	7514.3122719567
YBR052C	7060.5810893362
YBR053C	4194.5850853297
YBR054W	1948.0038456371
YBR055C	2253.3370522655
YBR056W	1960.4455070212
YBR057C	3400.1495013016
YBR058C	3037.9837596704
YBR059C	3004.5334190662
YBR060C	1696.1051192562
YBR061C	4112.7003747382
YBR062C	194.7116977248
YBR065C	4256.3258712515
YBR066C	704.4806631731
YBR067C	35561.5011428858
YBR068C	8655.8085291081
YBR069C	503.7084662699
YBR070C	338.7778519542
YBR071W	1197.6594091073
YBR072W	19342.6218913988
YBR073W	1267.5166553821
YBR077C	3486.4642875422
YBR079C	52745.8594008909
YBR080C	5924.7824014523
YBR081C	2360.885972901
YBR082C	13479.8687271949
YBR083W	529.7883584761
YBR084C-A	97742.5578898826
YBR084W	11423.9838051504
YBR085W	1083.6812483905
YBR087W	5040.2599067088
YBR089C-A	4590.2814139267
YBR092C	951.7158018827
YBR093C	1112.4478715328
YBR094W	1771.6248752844
YBR095C	1629.8915548926
YBR096W	1948.0038456371
YBR097W	279.4032573719
YBR101C	13112.9007092155
YBR103W	1616.8555807358
YBR104W	1054.7212022
YBR105C	6654.1045143234
YBR106W	61807.7694019474
YBR107C	124.5101173897
YBR110W	1885.4912664347
YBR111C	7327.5409183617
YBR112C	3890.1180126915
YBR114W	357.9774132475
YBR115C	7425.3752958299
YBR117C	148.8112425442
