#ORF	Ave. SD
YGR151C	51.6
YGR152C	127.0
YGR155W	2649.0
YGR156W	117.0
YGR157W	524.1
YGR158C	154.0
YGR159C	1242.0
YGR161C	87.0
YGR162W	1658.5
YGR163W	82.5
YGR165W	178.5
YGR166W	
YGR167W	542.5
YGR171C	
YGR173W	736.5
YGR174C	
YGR175C	1540.0
YGR177C	
YGR178C	313.5
YGR179C	
YGR180C	6925.0
YGR183C	374.0
YGR185C	1474.0
YGR186W	95.0
YGR187C	475.5
YGR188C	
YGR189C	
YGR191W	933.5
YGR192C	
YGR193C	
YGR194C	89.0
YGR195W	173.5
YGR198W	
YGR200C	195.0
YGR202C	191.0
YGR203W	175.6
YGR204W	3535.5
YGR205W	129.0
YGR206W	
YGR207C	471.5
YGR208W	820.5
YGR209C	1462.5
YGR210C	110.0
YGR211W	426.5
YGR214W	
YGR215W	96.0
YGR217W	
YGR218W	410.5
YGR219W	
YGR220C	171.0
YGR222W	
YGR229C	598.0
YGR231C	
YGR232W	83.0
YGR233C	
YGR234W	314.0
YGR235C	142.5
YGR237C	
YGR238C	
YGR239C	
YGR240C	6105.0
YGR241C	171.0
YGR243W	154.4
YGR244C	430.5
YGR246C	
YGR247W	63.5
YGR248W	177.0
YGR250C	195.0
YGR251W	
YGR252W	49.0
YGR253C	1057.0
YGR254W	8071.5
YGR255C	81.0
YGR256W	
YGR257C	
YGR258C	
YGR260W	212.0
YGR261C	194.4
YGR262C	92.0
YGR263C	
YGR264C	
YGR266W	112.0
YGR267C	234.5
YGR268C	88.0
YGR269W	93.0
YGR270W	
YGR271C-A	209.9
YGR271W	
YGR272C	
YGR274C	
YGR275W	110.1
YGR277C	
YGR278W	
YGR279C	243.0
YGR280C	120.5
YGR281W	57.8
YGR282C	
YGR283C	
YGR284C	628.0
YGR285C	2909.5
YGR286C	
YGR295C	119.0
YHL001W	2306.0
YHL002W	96.0
YHL003C	497.0
YHL004W	245.0
YHL007C	248.5
YHL008C	
YHL009C	57.0
YHL011C	431.5
YHL013C	88.0
YHL014C	
YHL017W	53.5
YHL018W	222.2
YHL019C	
YHL020C	72.0
YHL021C	391.5
YHL025W	48.5
YHL026C	
YHL027W	76.5
YHL028W	
YHL029C	148.0
YHL030W	62.5
YHL032C	
YHL033C	13583.5
YHL034C	1684.0
YHL036W	
YHL038C	49.5
YHL039W	112.5
YHL040C	
YHL048W	
YHR001W-A	224.3
YHR003C	105.0
YHR004C	
YHR005C	455.0
YHR006W	
YHR007C	554.0
YHR008C	669.5
YHR009C	135.5
YHR010W	213.0
YHR011W	
YHR012W	
YHR013C	256.5
YHR015W	
YHR018C	1565.0
YHR021C	3462.5
YHR023W	52.5
YHR024C	432.5
YHR025W	851.0
YHR026W	563.5
YHR027C	377.7
YHR030C	94.5
YHR031C	
YHR034C	
YHR036W	
YHR037W	379.5
YHR038W	
YHR039C	185.8
YHR039C-A	1535.0
YHR040W	
YHR041C	
YHR042W	381.4
YHR043C	53.5
YHR045W	78.5
YHR046C	97.5
YHR047C	508.5
YHR049W	386.5
YHR051W	740.0
YHR052W	366.5
YHR053C	94.3
YHR055C	
YHR057C	
YHR058C	104.0
YHR059W	114.4
YHR060W	
YHR061C	
YHR062C	223.5
YHR063C	95.0
YHR064C	1647.0
YHR066W	216.0
YHR067W	
YHR068W	711.0
YHR069C	184.5
YHR070W	171.0
YHR072W	136.5
YHR072W-A	454.5
YHR073W	85.5
YHR074W	
YHR077C	104.0
YHR079C	
YHR082C	137.5
YHR083W	
YHR084W	54.5
YHR085W	65.5
YHR086W	142.5
YHR087W	916.0
YHR089C	901.1
YHR090C	
YHR097C	
YHR098C	305.0
YHR101C	
YHR102W	58.5
YHR103W	
YHR104W	460.0
YHR105W	
YHR106W	
YHR107C	527.0
YHR108W	476.5
YHR110W	58.0
YHR111W	110.0
YHR112C	
YHR113W	
YHR114W	136.0
YHR115C	
YHR116W	72.3
YHR117W	186.0
YHR118C	
YHR119W	188.5
YHR120W	
YHR121W	93.8
YHR122W	57.5
YHR123W	131.0
YHR127W	64.0
YHR129C	
YHR131C	
YHR132C	
YHR132W-A	197.7
YHR133C	249.0
YHR135C	268.0
YHR136C	
YHR137W	
YHR138C	
YHR140W	
YHR141C	2109.0
YHR142W	159.5
YHR143W-A	620.5
YHR144C	
YHR146W	587.0
YHR147C	54.5
YHR149C	84.0
YHR152W	
YHR154W	
YHR155W	
YHR156C	
YHR158C	88.0
YHR159W	
YHR161C	123.5
YHR162W	337.5
YHR163W	375.5
YHR164C	
YHR165C	
YHR166C	
YHR167W	
YHR169W	139.0
YHR170W	382.5
YHR172W	59.0
YHR174W	57133.5
YHR175W	76.2
YHR178W	
YHR179W	730.0
YHR181W	134.0
YHR182W	
YHR183W	18755.5
YHR186C	
YHR187W	61.0
YHR189W	
YHR190W	
YHR192W	75.0
YHR193C	3591.4
YHR194W	
YHR195W	88.0
YHR196W	188.0
YHR197W	79.0
YHR198C	
YHR199C	
YHR200W	100.0
YHR201C	258.0
YHR202W	
YHR203C	4071.0
YHR204W	
YHR205W	131.5
YHR206W	
YHR207C	73.5
YHR215W	
YHR216W	324.5
YIL001W	
YIL002C	
YIL004C	62.0
YIL005W	
YIL007C	
YIL008W	
YIL009W	223.5
YIL010W	
YIL015W	100.0
YIL016W	328.0
YIL017C	
YIL019W	
YIL020C	172.0
YIL021W	418.0
YIL022W	510.5
YIL026C	
YIL027C	290.6
YIL030C	100.5
YIL031W	
YIL033C	490.0
YIL034C	467.5
YIL035C	309.5
YIL036W	66.0
YIL037C	
YIL038C	
YIL039W	
YIL040W	166.3
YIL041W	691.5
YIL042C	57.0
YIL043C	179.5
YIL044C	124.5
YIL045W	
YIL046W	
YIL047C	145.3
YIL048W	160.9
YIL050W	
YIL051C	59.5
YIL052C	1377.5
YIL053W	8652.5
YIL055C	
YIL056W	
YIL057C	
YIL061C	
YIL062C	1162.9
YIL063C	
YIL064W	
YIL065C	107.5
YIL066C	
YIL067C	
YIL068C	68.5
YIL069C	1777.0
YIL070C	333.0
YIL071C	
YIL074C	440.0
YIL075C	587.5
YIL076W	415.0
YIL077C	
YIL078W	1570.5
YIL079C	
YIL083C	95.0
YIL084C	63.0
YIL087C	
YIL088C	
YIL090W	187.5
YIL091C	97.0
YIL092W	
YIL093C	230.0
YIL094C	520.0
YIL095W	79.5
YIL096C	
YIL097W	
YIL098C	73.8
YIL101C	
YIL103W	70.0
YIL104C	
YIL105C	154.5
YIL106W	125.0
YIL107C	
YIL108W	
YIL109C	700.4
YIL110W	
YIL111W	
YIL112W	
YIL113W	
YIL114C	
YIL115C	221.5
YIL116W	1205.0
YIL117C	
YIL119C	
YIL121W	375.5
YIL122W	
YIL123W	
YIL124W	268.0
YIL125W	501.0
YIL126W	169.5
YIL127C	53.5
YIL128W	106.5
YIL129C	
YIL130W	50.5
YIL131C	
YIL132C	
YIL133C	2523.0
YIL135C	87.0
YIL136W	122.0
YIL137C	96.5
YIL138C	285.2
YIL140W	
YIL143C	67.0
YIL144W	61.5
YIL145C	247.0
YIL147C	
YIL148W	554.0
YIL149C	
YIL150C	
YIL151C	
YIL153W	84.0
YIL154C	
YIL155C	50.5
YIL156W	
YIL157C	48.5
YIL158W	
YIL159W	
YIL160C	
YIL161W	90.0
YIL172C	
YIL173W	
YIR001C	59.0
YIR002C	
YIR003W	159.5
YIR004W	217.5
YIR005W	
YIR006C	454.3
YIR007W	
YIR009W	
YIR010W	
YIR011C	
YIR012W	437.0
YIR014W	
YIR015W	
YIR017C	
YIR018W	
YIR021W	
YIR022W	204.5
YIR023W	
YIR024C	
YIR026C	83.0
YIR034C	
YIR035C	
YIR036C	
YIR037W	283.9
YIR038C	
YJL001W	
YJL002C	699.5
YJL004C	
YJL005W	83.5
YJL006C	51.5
YJL010C	158.0
YJL011C	
YJL012C-A	
YJL013C	
YJL016W	109.0
YJL017W	
YJL018W	195.0
YJL021C	248.0
YJL024C	157.5
YJL025W	
YJL026W	10318.0
YJL029C	117.4
YJL030W	
YJL033W	78.5
YJL034W	168.0
YJL035C	
YJL036W	63.0
YJL039C	136.0
YJL041W	397.8
YJL042W	260.5
YJL043W	
YJL044C	85.5
YJL047C	
YJL048C	
YJL050W	194.0
YJL052W	3352.5
YJL053W	107.5
YJL054W	66.0
YJL055W	233.5
YJL056C	
YJL057C	
YJL058C	
YJL060W	63.0
YJL061W	204.2
YJL062W	111.0
YJL062W-A	
YJL063C	228.0
YJL065C	76.1
YJL066C	
YJL068C	
YJL069C	188.0
YJL070C	
YJL071W	
YJL074C	69.0
YJL076W	
YJL078C	489.0
YJL079C	121.0
YJL080C	1570.6
YJL081C	
YJL082W	230.0
YJL084C	56.0
YJL085W	125.5
YJL087C	128.0
YJL088W	2726.5
YJL090C	
YJL091C	105.0
YJL092W	
YJL095W	
YJL096W	102.5
YJL097W	321.0
YJL098W	94.0
YJL099W	
YJL101C	86.0
YJL102W	51.5
YJL104W	374.3
YJL107C	
YJL109C	277.0
YJL110C	
YJL112W	75.1
YJL115W	173.0
YJL117W	338.5
YJL121C	96.0
YJL122W	273.8
YJL123C	252.5
YJL124C	378.3
YJL125C	
YJL127C	
YJL128C	192.5
YJL130C	1354.5
YJL131C	
YJL133W	
YJL136C	5350.0
YJL137C	
YJL138C	4266.0
YJL140W	355.5
YJL143W	369.0
YJL144W	57.8
YJL145W	83.0
YJL146W	72.0
YJL147C	
YJL148W	316.5
YJL151C	457.9
YJL153C	188.5
YJL154C	209.5
YJL155C	66.5
YJL157C	
YJL158C	
YJL161W	
YJL162C	
YJL164C	143.5
YJL166W	326.8
YJL168C	62.5
YJL169W	390.7
YJL171C	161.0
YJL173C	499.3
YJL176C	83.0
YJL177W	1528.5
YJL178C	205.3
YJL179W	114.4
YJL180C	
YJL183W	116.5
YJL186W	94.0
YJL190C	1245.9
YJL191W	403.5
YJL192C	366.5
YJL194W	
YJL196C	745.5
YJL197W	114.5
YJL198W	
YJL200C	3592.0
YJL201W	208.5
YJL203W	
YJL204C	
YJL207C	121.5
YJL208C	
YJL209W	
YJL210W	
YJL212C	
YJL217W	
YJL222W	
YJR003C	80.0
YJR005W	122.0
YJR006W	
YJR007W	1109.0
YJR008W	
YJR009C	12722.0
YJR010C-A	105.5
YJR010W	210.0
YJR011C	
YJR013W	88.0
YJR014W	506.5
YJR015W	
YJR016C	2752.5
YJR017C	166.1
YJR022W	
YJR024C	
YJR025C	202.0
YJR031C	58.5
YJR032W	94.0
YJR033C	
YJR035W	
YJR041C	71.5
YJR042W	158.6
YJR043C	
YJR044C	96.0
YJR046W	
YJR047C	
YJR048W	65.2
YJR049C	88.0
YJR050W	
YJR051W	
YJR052W	
YJR053W	
YJR054W	
YJR055W	
YJR056C	
YJR057W	
YJR058C	
YJR059W	378.0
YJR060W	166.0
YJR062C	
YJR063W	572.3
YJR067C	
YJR068W	77.0
YJR069C	200.2
YJR070C	916.5
YJR072C	236.5
YJR073C	576.0
YJR074W	
YJR075W	
YJR076C	
YJR077C	805.5
YJR080C	145.5
YJR082C	
YJR083C	54.5
YJR084W	
YJR085C	
YJR086W	207.5
YJR088C	404.0
YJR089W	
YJR091C	158.0
YJR092W	
YJR094W-A	2680.4
YJR096W	
YJR097W	
YJR098C	
YJR101W	178.0
YJR103W	
YJR104C	3898.7
YJR105W	2334.0
YJR109C	9873.5
YJR110W	65.0
YJR111C	72.5
YJR112W	69.6
YJR113C	173.0
YJR116W	
YJR117W	492.5
YJR118C	
YJR119C	
YJR121W	2827.0
YJR122W	
YJR127C	
YJR129C	
YJR130C	166.0
YJR131W	120.5
YJR132W	101.5
YJR133W	
YJR134C	
YJR135C	
YJR136C	
YJR137C	53.5
YJR138W	
YJR139C	591.0
YJR140C	
YJR143C	51.1
YJR145C	5842.0
YJR146W	
YJR147W	
YJR148W	1022.0
YJR149W	
YJR154W	
YJR161C	
YKL001C	
YKL002W	97.5
YKL003C	
YKL004W	259.5
YKL006C-A	67.5
YKL006W	3631.5
YKL007W	338.0
YKL008C	174.5
YKL009W	308.0
YKL010C	
YKL011C	
YKL012W	
YKL013C	334.5
YKL014C	136.5
YKL015W	
YKL016C	291.5
YKL017C	
YKL018C-A	58.0
YKL019W	
YKL020C	
YKL021C	120.5
YKL022C	
YKL023W	71.0
YKL024C	200.4
YKL025C	77.0
YKL026C	
YKL027W	264.5
YKL028W	132.5
YKL029C	410.5
YKL032C	250.5
YKL033W	
YKL035W	1055.5
YKL038W	
YKL040C	288.0
YKL041W	164.0
YKL042W	58.0
YKL043W	
YKL046C	288.5
YKL047W	
YKL048C	
YKL049C	161.0
YKL051W	546.5
YKL052C	153.5
YKL053C-A	
YKL054C	3119.0
YKL055C	
YKL056C	4668.9
YKL058W	58.0
YKL059C	76.0
YKL060C	36032.5
YKL061W	70.3
YKL063C	156.0
YKL064W	60.2
YKL065C	442.0
YKL067W	654.0
YKL068W	98.4
YKL069W	128.8
YKL071W	5994.5
YKL072W	
YKL073W	
YKL074C	
YKL075C	70.0
YKL077W	309.0
YKL078W	
YKL079W	86.5
YKL080W	740.0
YKL081W	2784.0
YKL085W	986.0
YKL086W	69.1
YKL088W	240.5
YKL089W	
YKL091C	56.0
YKL092C	70.5
YKL094W	277.0
YKL095W	
YKL096W	661.5
YKL096W-A	4260.3
YKL101W	
YKL102C	
YKL103C	129.0
YKL105C	
YKL106W	106.5
YKL108W	
YKL110C	
YKL112W	269.0
YKL113C	75.0
YKL114C	
YKL116C	101.5
YKL117W	1483.0
YKL119C	
YKL120W	613.0
YKL122C	275.6
YKL125W	
YKL126W	308.5
YKL127W	65.5
YKL128C	233.5
YKL129C	260.5
YKL130C	106.5
YKL134C	58.0
YKL135C	156.5
YKL138C	175.4
YKL139W	48.0
YKL140W	49.5
YKL142W	433.0
YKL143W	175.5
YKL145W	762.5
YKL146W	66.5
YKL149C	
YKL150W	
YKL151C	73.5
YKL152C	11464.0
YKL154W	287.5
YKL155C	60.0
YKL156W	2829.4
YKL157W	289.0
YKL160W	301.0
YKL162C	
YKL164C	108.5
YKL165C	139.4
YKL166C	57.5
YKL167C	299.6
YKL168C	
YKL169C	
YKL170W	116.6
YKL173W	59.5
YKL175W	
YKL176C	
YKL179C	64.5
YKL180W	1832.0
YKL181W	238.5
YKL182W	
YKL183W	49.0
YKL184W	54.0
YKL185W	
YKL186C	734.8
YKL187C	
YKL189W	
YKL190W	262.6
YKL191W	120.0
YKL192C	1210.6
YKL193C	150.0
YKL194C	
YKL195W	151.5
YKL197C	60.5
YKL204W	250.0
YKL205W	
YKL206C	85.0
YKL208W	
YKL209C	168.7
YKL210W	1659.0
YKL211C	1056.5
YKL212W	624.0
YKL213C	116.5
YKL214C	
YKL215C	116.5
YKL216W	
YKL222C	
YKR001C	471.7
YKR002W	
YKR003W	147.5
YKR006C	368.0
YKR007W	189.5
YKR008W	291.0
YKR010C	
YKR011C	
YKR013W	
YKR014C	503.5
YKR016W	
YKR018C	312.5
YKR020W	90.8
YKR021W	
YKR022C	
YKR023W	51.0
YKR024C	75.5
YKR025W	139.0
YKR026C	147.5
YKR027W	
YKR029C	48.0
YKR031C	68.0
YKR035W-A	206.6
YKR036C	
YKR037C	72.5
YKR038C	145.0
YKR039W	819.5
YKR041W	
YKR042W	
YKR043C	248.5
YKR044W	
YKR045C	
YKR046C	133.0
YKR048C	431.5
YKR049C	
YKR052C	89.5
YKR054C	
YKR055W	
YKR057W	3801.3
YKR059W	2579.0
YKR060W	75.0
YKR062W	
YKR063C	
YKR064W	
YKR065C	183.1
YKR066C	111.5
YKR067W	195.2
YKR068C	89.0
YKR070W	
YKR071C	154.0
YKR072C	243.5
YKR074W	227.9
YKR075C	82.5
YKR076W	
YKR077W	
YKR078W	
YKR079C	55.0
YKR080W	1439.0
YKR081C	
YKR082W	197.8
YKR083C	101.4
YKR084C	141.5
YKR085C	83.9
YKR086W	
YKR087C	
YKR088C	171.0
YKR089C	94.5
YKR090W	103.0
YKR092C	506.0
YKR093W	106.5
YKR094C	2079.0
YKR095W	86.4
YKR096W	
YKR099W	
YKR100C	144.0
YKR103W	
YLL001W	82.5
YLL002W	
YLL003W	72.0
YLL006W	
YLL007C	
YLL008W	265.0
YLL009C	783.0
YLL010C	109.5
YLL011W	211.0
YLL012W	81.0
YLL013C	213.0
YLL014W	246.8
YLL015W	
YLL018C	1306.0
YLL018C-A	207.7
YLL022C	76.5
YLL023C	291.0
YLL024C	24135.0
YLL026W	1931.5
YLL027W	313.5
YLL028W	684.0
YLL029W	
YLL031C	133.5
YLL032C	77.0
YLL034C	48.0
YLL036C	91.5
YLL038C	141.0
YLL039C	64.0
YLL040C	151.1
YLL041C	404.0
YLL043W	128.3
YLL045C	5134.0
YLL048C	204.1
YLL051C	
YLL052C	
YLL054C	
YLL055W	
YLL060C	
YLL061W	
YLL062C	
YLR001C	73.0
YLR002C	181.5
YLR003C	
YLR005W	
YLR006C	54.5
YLR011W	
YLR015W	
YLR016C	
YLR017W	113.0
YLR018C	174.0
YLR020C	85.0
YLR022C	184.5
YLR023C	
YLR024C	
YLR025W	177.5
YLR028C	596.0
YLR032W	
YLR033W	90.0
YLR034C	62.0
YLR035C	
YLR035C-A	
YLR036C	
YLR038C	
YLR039C	
YLR042C	47.9
YLR043C	911.0
YLR044C	52313.0
YLR045C	86.0
YLR048W	5743.0
YLR050C	129.5
YLR051C	61.5
YLR052W	72.0
YLR055C	
YLR056W	468.5
YLR058C	4364.0
YLR059C	169.0
YLR060W	1242.5
YLR061W	7575.0
YLR063W	
YLR064W	447.0
YLR065C	112.6
YLR066W	101.5
YLR067C	
YLR068W	
YLR069C	238.5
YLR071C	
YLR072W	
YLR073C	
YLR074C	158.8
YLR075W	4080.5
YLR079W	
YLR080W	
YLR082C	
YLR083C	343.1
YLR084C	150.5
YLR085C	
YLR086W	57.5
YLR088W	98.0
YLR090W	72.5
YLR091W	
YLR093C	
YLR094C	
YLR095C	48.0
YLR096W	86.5
YLR098C	
YLR100W	197.5
YLR102C	
YLR103C	
YLR105C	
YLR106C	
YLR107W	
YLR108C	
YLR109W	17974.2
YLR110C	18226.0
YLR113W	379.5
YLR114C	200.5
YLR115W	62.0
YLR116W	85.5
YLR117C	
YLR118C	70.5
YLR120C	
YLR121C	
YLR126C	
YLR127C	
YLR129W	
YLR130C	66.0
YLR131C	
YLR132C	
YLR133W	
YLR134W	
YLR135W	
YLR136C	
YLR138W	130.9
YLR139C	
YLR141W	
YLR142W	
YLR143W	
YLR144C	52.0
YLR145W	
YLR146C	
YLR148W	113.2
YLR149C	
YLR150W	4121.5
YLR153C	3037.0
YLR154C	
YLR163C	227.0
YLR166C	179.0
YLR168C	105.5
YLR172C	222.0
YLR175W	750.0
YLR176C	
YLR177W	53.5
YLR178C	58.0
YLR179C	457.2
YLR180W	3675.5
YLR181C	71.0
YLR182W	74.5
YLR183C	
YLR185W	2728.5
YLR186W	120.0
YLR187W	95.5
YLR188W	55.8
YLR189C	
YLR190W	
YLR191W	
YLR192C	599.0
YLR193C	108.8
YLR194C	56.0
YLR195C	
YLR196W	598.5
YLR197W	
YLR199C	
YLR200W	137.5
YLR201C	75.5
YLR203C	312.5
YLR204W	
YLR206W	184.0
YLR208W	1044.0
YLR210W	
YLR211C	
YLR212C	170.5
YLR215C	
YLR216C	983.0
YLR218C	100.6
YLR219W	142.0
YLR220W	
YLR221C	134.0
YLR222C	
YLR223C	
YLR225C	79.0
YLR226W	56.0
YLR228C	
YLR231C	96.5
YLR234W	
YLR237W	
YLR239C	
YLR240W	178.0
YLR244C	704.5
YLR245C	152.7
YLR247C	
YLR248W	262.5
YLR249W	16563.0
YLR250W	213.0
YLR253W	70.0
YLR254C	83.1
YLR257W	883.5
YLR258W	623.5
YLR259C	
YLR260W	
YLR262C	324.0
YLR262C-A	385.5
YLR263W	
YLR264W	230.8
YLR265C	
YLR266C	
YLR268W	
YLR270W	177.5
YLR271W	
YLR272C	
YLR275W	
YLR277C	
YLR278C	
YLR281C	
YLR283W	
YLR285W	239.5
YLR286C	112.5
YLR287C	191.0
YLR287C-A	2440.0
YLR289W	
YLR290C	92.5
YLR291C	303.0
YLR292C	326.0
YLR295C	1606.3
YLR297W	
YLR298C	
YLR299W	
YLR300W	70.0
YLR301W	554.0
YLR309C	75.8
YLR310C	
YLR312W-A	186.0
YLR313C	
YLR315W	116.1
YLR316C	
YLR319C	73.5
YLR321C	122.5
YLR323C	
YLR324W	87.0
YLR325C	1456.7
YLR326W	
YLR327C	344.9
YLR328W	112.0
YLR330W	
YLR332W	471.0
YLR333C	2209.9
YLR335W	191.0
YLR336C	78.5
YLR337C	124.0
YLR342W	66.4
YLR343W	
YLR344W	3927.5
YLR345W	68.5
YLR346C	
YLR347C	1036.5
YLR348C	51.0
YLR350W	182.5
YLR351C	135.0
YLR353W	
YLR354C	2169.5
YLR356W	
YLR357W	85.0
YLR360W	
YLR362W	
YLR363C	187.0
YLR363W-A	127.4
YLR364W	
YLR367W	2118.5
YLR369W	102.5
YLR370C	1285.0
YLR371W	
YLR372W	1979.0
YLR373C	121.8
YLR375W	
YLR376C	
YLR378C	2664.0
YLR380W	270.0
YLR381W	
YLR382C	
YLR383W	
YLR384C	294.0
YLR385C	
YLR386W	87.0
YLR387C	221.0
YLR388W	459.9
YLR390W	
YLR390W-A	
YLR392C	
YLR393W	
YLR395C	229.0
YLR396C	74.7
YLR397C	69.0
YLR398C	184.5
YLR399C	382.5
YLR401C	
YLR403W	68.0
YLR404W	
YLR405W	
YLR406C	1829.0
YLR407W	107.5
YLR408C	
YLR409C	131.0
YLR410W	217.5
YLR412W	68.5
YLR413W	2249.5
YLR414C	319.0
YLR417W	
YLR418C	229.0
YLR420W	408.0
YLR421C	245.0
YLR422W	
YLR423C	
YLR424W	
YLR426W	
YLR427W	
YLR429W	397.0
YLR430W	
YLR432W	1693.0
YLR433C	168.0
YLR435W	267.5
YLR436C	98.0
YLR438C-A	511.0
YLR438W	227.0
YLR439W	137.0
YLR440C	112.5
YLR441C	
YLR442C	
YLR447C	821.0
YLR448W	2049.5
YLR449W	389.0
YLR450W	97.0
YLR451W	
YLR452C	91.5
YLR453C	
YLR454W	
YLR455W	125.0
YLR457C	68.0
YML001W	298.0
YML004C	
YML005W	48.0
YML006C	
YML007C-A	203.8
YML007W	54.5
YML008C	1011.0
YML009C	102.9
YML010W	523.5
YML011C	
YML012W	1097.5
YML013W	126.0
YML014W	
YML016C	202.0
YML017W	216.0
YML018C	265.0
YML020W	212.5
YML021C	
YML022W	455.1
YML023C	
YML024W	5212.0
YML025C	178.5
YML026C	590.0
YML027W	
YML028W	5621.2
YML029W	
YML030W	58.8
YML031W	492.4
YML032C	
YML034W	
YML035C	203.0
YML037C	
YML038C	110.0
YML041C	
YML043C	
YML046W	
YML048W	
YML049C	968.0
YML051W	
YML052W	1125.0
YML053C	
YML055W	325.3
YML056C	592.0
YML057W	215.5
YML058W	1568.7
YML058W-A	
YML059C	102.0
YML060W	
YML062C	76.0
YML063W	5511.5
YML064C	
YML067C	189.5
YML069W	413.5
YML070W	725.5
YML071C	98.0
YML072C	764.0
YML073C	2273.5
YML074C	355.0
YML075C	169.6
YML076C	
YML078W	95.5
YML079W	
YML080W	84.0
YML081C-A	344.5
YML081W	
YML082W	103.5
YML085C	507.0
YML086C	563.5
YML088W	
YML091C	110.0
YML092C	908.0
YML093W	151.5
YML094W	110.5
YML095C	
YML096W	
YML097C	82.5
YML098W	52.1
YML099C	
YML100W	1048.0
YML101C	142.1
YML102W	83.0
YML103C	224.7
YML104C	
YML105C	322.0
YML106W	543.0
YML107C	
YML108W	52.1
YML109W	
YML110C	75.0
YML111W	
YML112W	60.0
YML113W	68.0
YML114C	
YML115C	
YML116W	382.5
YML117W	172.0
YML120C	847.5
YML121W	100.5
YML124C	127.0
YML125C	344.5
YML126C	981.5
YML127W	122.0
YML128C	
YML129C	214.0
YML131W	
YML132W	
YMR001C	
YMR002W	834.9
YMR003W	
YMR004W	
YMR009W	50.1
YMR010W	
YMR011W	764.0
YMR012W	1347.5
YMR014W	86.5
YMR015C	342.0
YMR016C	
YMR019W	
YMR021C	
YMR022W	
YMR023C	
YMR024W	321.0
YMR026C	
YMR027W	368.0
YMR029C	63.5
YMR030W	
YMR031C	615.5
YMR032W	202.5
YMR036C	
YMR037C	96.5
YMR038C	529.0
YMR039C	135.5
YMR042W	
YMR043W	146.5
YMR044W	
YMR047C	
YMR048W	155.5
YMR049C	
YMR052W	
YMR054W	
YMR055C	
YMR056C	
YMR058W	646.0
YMR059W	
YMR060C	
YMR061W	73.5
YMR062C	1007.5
YMR064W	
YMR066W	
YMR067C	49.5
YMR069W	
YMR070W	94.5
YMR071C	293.5
YMR072W	885.1
YMR073C	73.8
YMR074C	222.4
YMR075W	
YMR076C	
YMR077C	107.5
YMR078C	
YMR079W	1053.5
YMR080C	278.0
YMR083W	350.5
YMR086W	166.5
YMR089C	200.5
YMR090W	
YMR091C	129.5
YMR092C	727.5
YMR093W	113.0
YMR095C	
YMR097C	
YMR098C	
YMR099C	198.5
YMR102C	53.0
YMR104C	
YMR105C	1265.5
YMR106C	
YMR108W	2489.0
YMR109W	347.0
YMR110C	
YMR111C	
YMR112C	
YMR113W	
YMR114C	
YMR115W	
YMR117C	
YMR119W	
YMR120C	12621.0
YMR121C	97.1
YMR122W-A	436.5
YMR123W	463.9
YMR124W	67.5
YMR125W	214.0
YMR127C	
YMR128W	100.0
YMR129W	
YMR131C	1302.0
YMR132C	
YMR134W	102.5
YMR135C	56.5
YMR137C	
YMR138W	53.4
YMR139W	126.5
YMR140W	97.0
YMR142C	2862.0
YMR143W	3020.0
YMR144W	
YMR145C	195.0
YMR148W	171.1
YMR149W	644.0
YMR152W	225.0
YMR153W	62.5
YMR157C	
YMR159C	
YMR160W	
YMR161W	
YMR162C	75.1
YMR163C	
YMR164C	
YMR165C	81.5
YMR166C	
YMR167W	
YMR168C	
YMR169C	
YMR170C	
YMR171C	
YMR172W	
YMR173W	615.5
YMR174C	
YMR175W	
YMR176W	
YMR177W	
YMR178W	127.5
YMR179W	
YMR182C	
YMR183C	83.5
YMR184W	71.0
YMR186W	114.0
YMR188C	243.0
YMR189W	1540.0
YMR190C	
YMR192W	111.0
YMR193W	98.0
YMR194W	1777.5
YMR195W	
YMR196W	232.0
YMR198W	
YMR199W	
YMR200W	439.0
YMR201C	
YMR202W	
YMR204C	
YMR205C	6768.0
YMR207C	
YMR208W	173.0
YMR209C	
YMR212C	152.9
YMR213W	
YMR214W	
YMR215W	
YMR216C	164.0
YMR218C	
YMR219W	
YMR220W	227.0
YMR221C	
YMR222C	113.5
YMR223W	
YMR224C	
YMR225C	63.0
YMR226C	209.5
YMR227C	
YMR229C	425.0
YMR230W	2497.5
YMR231W	82.4
YMR232W	176.5
YMR233W	
YMR234W	
YMR235C	830.0
YMR236W	156.9
YMR237W	238.5
YMR238W	214.5
YMR239C	
YMR240C	
YMR241W	1333.0
YMR242C	2603.5
YMR243C	366.5
YMR244C-A	161.7
YMR246W	1104.5
YMR250W	70.5
YMR251W-A	3645.3
YMR252C	
YMR253C	74.0
YMR255W	142.8
YMR256C	503.5
YMR257C	
YMR258C	
YMR259C	
YMR260C	1173.6
YMR261C	655.5
YMR263W	
YMR264W	
YMR266W	200.8
YMR267W	
YMR268C	
YMR269W	78.2
YMR270C	
YMR271C	
YMR272C	243.5
YMR273C	
YMR275C	
YMR276W	60.5
YMR277W	100.5
YMR278W	250.5
YMR280C	
YMR281W	
YMR282C	
YMR283C	
YMR284W	
YMR285C	
YMR286W	189.8
YMR287C	
YMR288W	
YMR289W	
YMR291W	619.5
YMR292W	118.0
YMR293C	
YMR295C	622.4
YMR296C	384.0
YMR297W	
YMR299C	
YMR300C	1190.0
YMR301C	50.2
YMR302C	
YMR303C	
