#ORF	Ave. SD
YBR254C	
YBR255W	
YBR256C	
YBR258C	135.2
YBR259W	
YBR260C	108.5
YBR261C	59.5
YBR262C	152.8
YBR263W	228.0
YBR264C	
YBR265W	76.0
YBR267W	313.5
YBR268W	202.7
YBR269C	150.6
YBR271W	
YBR272C	
YBR273C	
YBR274W	
YBR275C	
YBR278W	
YBR279W	197.0
YBR281C	
YBR282W	114.2
YBR283C	947.5
YBR286W	
YBR287W	78.5
YBR288C	56.0
YBR289W	52.5
YBR290W	87.5
YBR291C	199.0
YBR296C	
YBR302C	
YCL001W	91.5
YCL005W	
YCL009C	1045.0
YCL010C	79.0
YCL011C	74.5
YCL014W	
YCL016C	
YCL017C	548.5
YCL024W	
YCL025C	3035.5
YCL026C-A	
YCL027C-A	
YCL027W	
YCL028W	244.5
YCL029C	
YCL030C	9750.0
YCL031C	353.0
YCL032W	
YCL034W	69.5
YCL035C	515.8
YCL037C	1998.0
YCL039W	
YCL040W	332.5
YCL043C	220.0
YCL044C	
YCL045C	346.7
YCL050C	592.5
YCL052C	65.5
YCL055W	83.0
YCL056C	
YCL057W	369.0
YCL059C	210.0
YCL061C	
YCL064C	
YCR002C	345.5
YCR003W	311.4
YCR004C	720.5
YCR005C	168.0
YCR009C	700.5
YCR011C	183.2
YCR012W	35610.5
YCR016W	99.5
YCR017C	107.2
YCR018C	
YCR018C-A	453.5
YCR020C	
YCR020W-B	272.3
YCR021C	
YCR023C	
YCR024C	
YCR024C-A	4041.0
YCR027C	
YCR028C	100.5
YCR028C-A	453.9
YCR030C	323.5
YCR033W	
YCR034W	804.0
YCR035C	177.5
YCR036W	311.0
YCR037C	52.5
YCR038C	
YCR042C	
YCR043C	202.9
YCR044C	144.5
YCR046C	189.9
YCR047C	110.0
YCR048W	
YCR051W	88.0
YCR053W	3691.5
YCR054C	51.5
YCR057C	259.0
YCR059C	135.5
YCR060W	
YCR061W	
YCR063W	152.5
YCR065W	
YCR067C	
YCR069W	
YCR071C	90.6
YCR073W-A	
YCR077C	295.5
YCR079W	
YCR081W	
YCR082W	50.0
YCR083W	
YCR084C	160.0
YCR086W	
YCR087C-A	
YCR088W	931.5
YCR090C	86.6
YCR092C	
YCR093W	382.5
YCR094W	
YCR095C	
YDL001W	
YDL002C	74.0
YDL003W	58.5
YDL005C	84.0
YDL008W	111.6
YDL010W	
YDL012C	
YDL015C	609.0
YDL017W	
YDL018C	246.0
YDL019C	184.0
YDL020C	
YDL021W	
YDL022W	2870.5
YDL025C	302.0
YDL027C	
YDL028C	
YDL029W	
YDL030W	
YDL033C	
YDL036C	
YDL040C	629.0
YDL042C	
YDL043C	
YDL044C	
YDL045C	
YDL045W-A	
YDL046W	58.9
YDL047W	114.5
YDL048C	
YDL051W	370.5
YDL052C	671.0
YDL053C	202.9
YDL054C	
YDL055C	14607.0
YDL056W	
YDL058W	136.2
YDL059C	
YDL060W	
YDL061C	1961.6
YDL063C	
YDL064W	343.5
YDL065C	176.0
YDL066W	1856.5
YDL067C	
YDL070W	72.5
YDL072C	650.0
YDL074C	90.5
YDL076C	66.5
YDL077C	
YDL078C	270.5
YDL080C	
YDL081C	5304.9
YDL082W	2970.5
YDL083C	435.5
YDL084W	
YDL085C-A	278.6
YDL087C	
YDL088C	176.5
YDL089W	
YDL090C	
YDL091C	
YDL092W	275.5
YDL095W	93.5
YDL097C	446.5
YDL098C	
YDL099W	196.5
YDL100C	378.0
YDL101C	
YDL102W	200.5
YDL103C	195.0
YDL104C	
YDL105W	
YDL106C	
YDL107W	
YDL108W	
YDL110C	281.7
YDL111C	135.0
YDL112W	60.5
YDL113C	57.0
YDL115C	
YDL116W	227.4
YDL117W	
YDL119C	60.0
YDL120W	
YDL121C	277.7
YDL122W	194.0
YDL123W	278.9
YDL124W	577.0
YDL125C	460.1
YDL126C	1576.0
YDL128W	129.5
YDL129W	
YDL130W	7561.0
YDL130W-A	202.8
YDL131W	2732.5
YDL132W	71.0
YDL133C-A	3744.2
YDL134C	97.5
YDL135C	351.2
YDL136W	1989.0
YDL137W	103.5
YDL139C	
YDL140C	1011.0
YDL141W	156.5
YDL142C	
