ORF Name	Intensity
YBR054W	154680000
YLR350W	504440000
YOR059C	329880
YLL027W	15809000
YGL106W	19545000000
YNL065W	133230000
YLR082C	150340000
YJL052W	28760000000
YEL011W	710010000
YGL060W	51969000
YOR330C	20138000
YAL061W	70580000
YKL011C	887160
YEL001C	1454200000
YMR281W	21284000
YJR092W	856850000
YPL230W	1318900
YDR381C-A	92475000
YDR186C	97318000
YOL086W-A	188300000
YNL155W	500080000
YDR539W	1042500000
YPL224C	950740
YDR038C	2285700000
YOL025W	16768000
YGL010W	8994400
YGR092W	402370000
YBR092C	2329000000
YLR353W	3734900
YGR040W	288740000
YBR167C	35262000
YLR211C	30893000
YPL057C	16604000
YPL184C	169400000
YNL052W	61343000
YDL090C	189700000
YLR142W	860550
YKL051W	18506000
YDR503C	37307000
YLL012W	32241000
YPL265W	1660800000
YFR053C	39010000000
YLR120C	176000000
YLR144C	39018000
YPL119C	40729000
YOR081C	29716000
YOL019W	206680000
YOR324C	24867000
YER100W	294440000
YLL062C	27000000
YGL035C	160910000
YDL181W	2008900000
YKL090W	23061000
YOL063C	27523000
YLL028W	42447000
YMR032W	15641000
YLR407W	51200000
YJR135C	6780200
YLR433C	881870000
YBR004C	545300
YNR032W	12459000
YOR368W	23171000
YMR234W	21979000
YKL189W	67746000
YHL027W	42725000
YHR138C	1103600000
YLR105C	29074000
YMR019W	19334000
YGR106C	236780000
YMR169C	303370000
YPR049C	89480000
YLR056W	1380500000
YLR435W	820310000
YNL265C	309270000
YLR126C	127180000
YML091C	123050000
YOR296W	29427000
YAR027W	187810000
YBL061C	528980000
YAR014C	498820000
YOR008C	474960000
YGR227W	1790800
YDL156W	198790000
YPR026W	27473000
YGL191W	72821000
YMR154C	35973000
YFR043C	36492000
YJL218W	197920000
YNL053W	7163600
YOR156C	10860000
YBR233W	86110000
YER167W	93285000
YGR071C	13704000
YCR095C	37229000
YKR049C	404560000
YAR015W	7171600000
YNL087W	3370900000
YPR051W	113690000
YFL027C	16530000
YKL020C	90652000
YOR256C	65240000
YAL010C	3435600
