#ORF	Ave. YEPD
YBR249C	1945.5
YBR251W	67.5
YBR252W	182.0
YBR253W	92.0
YBR254C	63.5
YBR255W	
YBR256C	
YBR258C	
YBR259W	
YBR260C	113.0
YBR261C	
YBR262C	177.5
YBR263W	202.5
YBR264C	
YBR265W	109.0
YBR267W	451.5
YBR268W	108.0
YBR269C	53.0
YBR271W	
YBR272C	56.0
YBR273C	
YBR274W	
YBR275C	
YBR278W	
YBR279W	282.5
YBR281C	
YBR282W	86.0
YBR283C	1496.0
YBR286W	
YBR287W	186.5
YBR288C	63.0
YBR289W	
YBR290W	137.0
YBR291C	
YBR296C	
YBR302C	
YCL001W	206.0
YCL005W	
YCL009C	528.0
YCL010C	106.5
YCL011C	85.5
YCL014W	
YCL016C	
YCL017C	537.5
YCL024W	
YCL025C	550.0
YCL026C-A	
YCL027C-A	
YCL027W	
YCL028W	259.5
YCL029C	
YCL030C	2089.0
YCL031C	339.0
YCL032W	
YCL034W	
YCL035C	506.0
YCL037C	3260.0
YCL039W	
YCL040W	145.5
YCL043C	407.0
YCL044C	
YCL045C	525.0
YCL050C	1060.0
YCL052C	83.5
YCL055W	123.0
YCL056C	
YCL057W	395.0
YCL059C	376.0
YCL061C	
YCL064C	1002.5
YCR002C	533.5
YCR003W	202.5
YCR004C	603.5
YCR005C	
YCR009C	743.5
YCR011C	207.5
YCR012W	42839.5
YCR016W	163.5
YCR017C	83.5
YCR018C	
YCR018C-A	744.0
YCR020C	
YCR020W-B	297.5
YCR021C	64.5
YCR023C	
YCR024C	
YCR024C-A	6641.5
YCR027C	80.0
YCR028C	167.0
YCR028C-A	435.0
YCR030C	192.5
YCR033W	
YCR034W	1437.0
YCR035C	234.0
YCR036W	156.0
YCR037C	
YCR038C	
YCR042C	
YCR043C	332.0
YCR044C	142.0
YCR046C	161.0
YCR047C	188.5
YCR048W	
YCR051W	106.5
YCR053W	3806.5
YCR054C	90.0
YCR057C	503.0
YCR059C	144.5
YCR060W	75.5
YCR061W	
YCR063W	186.5
YCR065W	56.5
YCR067C	82.0
YCR069W	68.0
YCR071C	115.5
YCR073W-A	
YCR077C	302.5
YCR079W	
YCR081W	
YCR082W	
YCR083W	
YCR084C	
YCR086W	
YCR087C-A	92.0
YCR088W	1065.0
YCR090C	125.5
YCR092C	
YCR093W	444.5
YCR094W	78.5
YCR095C	53.0
YDL001W	
YDL002C	115.5
YDL003W	138.5
YDL005C	74.5
YDL008W	133.0
YDL010W	50.5
YDL012C	59.5
YDL015C	854.5
YDL017W	55.0
YDL018C	265.5
