#ORF	Ave. YEPD
YGR132C	51.5
YGR133W	
YGR134W	
YGR135W	1268.0
YGR136W	380.0
YGR138C	160.0
YGR140W	
YGR142W	
YGR147C	145.0
YGR148C	5642.0
YGR149W	
YGR150C	
YGR151C	
YGR152C	157.5
YGR155W	3327.0
YGR156W	124.5
YGR157W	210.0
YGR158C	201.5
YGR159C	3003.5
YGR161C	
YGR162W	2253.5
YGR163W	89.5
YGR165W	126.0
YGR166W	
YGR167W	601.0
YGR171C	
YGR173W	824.5
YGR174C	
YGR175C	3408.5
YGR177C	55.5
YGR178C	276.0
YGR179C	
YGR180C	7068.0
YGR183C	196.5
YGR185C	1705.0
YGR186W	123.0
YGR187C	664.5
YGR188C	
YGR189C	163.5
YGR191W	705.0
YGR192C	61318.0
YGR193C	
YGR194C	
YGR195W	189.5
YGR198W	
YGR200C	331.5
YGR202C	166.0
YGR203W	139.5
YGR204W	2692.0
YGR205W	74.0
YGR206W	47.0
YGR207C	366.0
YGR208W	691.0
YGR209C	2033.5
YGR210C	201.5
YGR211W	1025.5
YGR214W	235.5
YGR215W	111.0
YGR217W	
YGR218W	396.5
YGR219W	
YGR220C	172.5
YGR222W	
YGR229C	696.5
YGR231C	56.5
YGR232W	49.0
YGR233C	121.5
YGR234W	2329.0
YGR235C	175.5
YGR237C	
YGR238C	
YGR239C	
YGR240C	6675.5
YGR241C	190.5
YGR243W	59.5
YGR244C	228.0
YGR246C	
YGR247W	
YGR248W	
YGR250C	120.5
YGR251W	117.5
YGR252W	
YGR253C	1528.0
YGR254W	3048.0
YGR255C	
YGR256W	
YGR257C	
YGR258C	
YGR260W	342.0
YGR261C	209.0
YGR262C	96.0
YGR263C	
YGR264C	3215.0
YGR266W	131.0
YGR267C	280.5
YGR268C	
YGR269W	134.0
YGR270W	
YGR271C-A	208.0
YGR271W	
YGR272C	
YGR274C	
YGR275W	74.0
YGR277C	
YGR278W	
YGR279C	575.0
YGR280C	247.0
YGR281W	214.0
YGR282C	
YGR283C	
YGR284C	779.5
YGR285C	3904.0
YGR286C	
YGR295C	274.5
YHL001W	2987.5
YHL002W	85.0
YHL003C	502.0
YHL004W	188.5
YHL007C	274.0
YHL008C	44.5
YHL009C	70.5
YHL011C	869.5
YHL013C	162.5
YHL014C	
YHL017W	60.5
YHL018W	
YHL019C	
YHL020C	77.5
YHL021C	152.0
YHL025W	
YHL026C	
YHL027W	
YHL028W	
YHL029C	135.5
YHL030W	116.0
YHL032C	
YHL033C	17952.5
YHL034C	1852.5
YHL036W	
YHL038C	
YHL039W	148.5
YHL040C	
YHL048W	61.0
YHR001W-A	116.5
YHR003C	129.0
YHR004C	
YHR005C	580.0
YHR006W	
YHR007C	1584.0
YHR008C	465.0
YHR009C	119.5
YHR010W	469.5
YHR011W	
YHR012W	
YHR013C	336.0
YHR015W	
YHR018C	148.0
YHR021C	4362.0
YHR023W	
YHR024C	327.5
YHR025W	499.5
YHR026W	832.0
YHR027C	651.5
YHR030C	135.0
YHR031C	
YHR034C	
YHR036W	
YHR037W	241.0
YHR038W	
YHR039C	322.5
YHR039C-A	1835.0
YHR040W	
YHR041C	
YHR042W	711.5
YHR043C	71.0
YHR045W	59.5
YHR046C	115.5
YHR047C	634.5
YHR049W	494.5
YHR051W	555.0
YHR052W	649.5
YHR053C	
YHR055C	
YHR057C	
YHR058C	139.5
YHR059W	54.5
YHR060W	
YHR061C	73.5
YHR062C	205.5
YHR063C	62.0
YHR064C	2618.5
YHR066W	314.5
YHR067W	
YHR068W	902.5
YHR069C	228.0
YHR070W	292.0
YHR072W	156.5
YHR072W-A	825.5
YHR073W	88.0
YHR074W	
YHR077C	70.0
YHR079C	
YHR082C	142.5
YHR083W	49.0
YHR084W	48.5
YHR085W	105.0
YHR086W	173.0
YHR087W	358.5
YHR089C	1252.0
YHR090C	
YHR097C	76.0
YHR098C	570.5
YHR101C	64.0
YHR102W	
YHR103W	47.5
YHR104W	274.5
YHR105W	
YHR106W	
YHR107C	676.0
YHR108W	539.5
YHR110W	132.5
YHR111W	259.5
YHR112C	
YHR113W	
YHR114W	122.0
YHR115C	
YHR116W	62.5
YHR117W	180.0
YHR118C	
YHR119W	116.0
YHR120W	
YHR121W	
YHR122W	72.5
YHR123W	84.5
YHR127W	83.0
YHR129C	
YHR131C	
YHR132C	
YHR132W-A	186.0
YHR133C	344.0
YHR135C	311.5
YHR136C	764.0
YHR137W	222.0
YHR138C	
YHR140W	
YHR141C	3462.5
YHR142W	302.5
YHR143W-A	853.5
YHR144C	
YHR146W	683.5
YHR147C	92.0
YHR149C	165.5
YHR152W	
YHR154W	
YHR155W	
YHR156C	
YHR158C	136.0
YHR159W	
YHR161C	
YHR162W	190.5
YHR163W	194.5
YHR164C	
YHR165C	
YHR166C	
YHR167W	
YHR169W	208.5
YHR170W	624.0
YHR172W	63.0
YHR174W	86153.5
YHR175W	118.5
YHR178W	
YHR179W	1681.5
YHR181W	
YHR182W	
YHR183W	11084.0
YHR186C	
YHR187W	99.5
YHR189W	
YHR190W	56.5
YHR192W	53.5
YHR193C	4730.0
YHR194W	
YHR195W	
YHR196W	350.0
YHR197W	181.0
YHR198C	
YHR199C	
YHR200W	295.5
YHR201C	323.5
YHR202W	
YHR203C	5505.5
YHR204W	
YHR205W	164.5
YHR206W	
YHR207C	108.5
YHR215W	48.5
YHR216W	396.0
YIL001W	
YIL002C	
YIL004C	112.0
YIL005W	96.5
YIL007C	
YIL008W	234.0
YIL009W	407.0
YIL010W	
YIL015W	226.5
YIL016W	452.5
YIL017C	
YIL019W	
YIL020C	110.5
YIL021W	581.5
YIL022W	560.0
YIL026C	73.0
YIL027C	442.0
YIL030C	73.0
YIL031W	
YIL033C	381.5
YIL034C	344.0
YIL035C	415.0
YIL036W	
YIL037C	
YIL038C	278.0
YIL039W	53.5
YIL040W	222.0
YIL041W	744.5
YIL042C	
YIL043C	228.5
YIL044C	144.5
YIL045W	
YIL046W	
YIL047C	112.5
YIL048W	146.0
YIL050W	
YIL051C	224.5
YIL052C	2505.0
YIL053W	9107.0
YIL055C	
YIL056W	
YIL057C	
YIL061C	
YIL062C	1445.0
YIL063C	
YIL064W	
YIL065C	134.5
YIL066C	
YIL067C	
YIL068C	102.5
YIL069C	2427.0
YIL070C	362.5
YIL071C	
YIL074C	485.0
YIL075C	931.5
YIL076W	694.0
YIL077C	
YIL078W	1795.0
YIL079C	
YIL083C	119.5
YIL084C	53.5
YIL087C	
YIL088C	69.0
YIL090W	265.5
YIL091C	158.5
YIL092W	
YIL093C	202.0
YIL094C	213.5
YIL095W	54.5
YIL096C	
YIL097W	
YIL098C	
YIL101C	
YIL103W	141.0
YIL104C	70.0
YIL105C	134.0
YIL106W	143.5
YIL107C	
YIL108W	
YIL109C	
YIL110W	
YIL111W	
YIL112W	
YIL113W	
YIL114C	
YIL115C	240.5
YIL116W	282.5
YIL117C	100.0
YIL119C	
YIL121W	203.0
YIL122W	
YIL123W	
YIL124W	121.0
YIL125W	392.0
YIL126W	197.5
YIL127C	129.0
YIL128W	139.0
YIL129C	
YIL130W	73.0
YIL131C	
YIL132C	
YIL133C	3370.5
YIL135C	100.0
YIL136W	
YIL137C	78.0
YIL138C	408.0
YIL140W	151.5
YIL143C	75.0
YIL144W	57.5
YIL145C	292.5
YIL147C	
YIL148W	907.5
YIL149C	47.0
YIL150C	
YIL151C	
YIL153W	76.0
YIL154C	45.0
YIL155C	
YIL156W	
YIL157C	
YIL158W	87.5
YIL159W	
YIL160C	
YIL161W	76.5
YIL172C	
YIL173W	
YIR001C	
YIR002C	
YIR003W	137.5
YIR004W	267.5
YIR005W	
YIR006C	714.0
YIR007W	
YIR009W	
YIR010W	46.5
YIR011C	
YIR012W	597.0
YIR014W	
YIR015W	56.5
YIR017C	
YIR018W	
YIR021W	
YIR022W	
YIR023W	
YIR024C	
YIR026C	211.0
YIR034C	2005.0
YIR035C	
YIR036C	
YIR037W	191.0
YIR038C	
YJL001W	1150.5
YJL002C	1075.0
YJL004C	75.5
YJL005W	72.0
YJL006C	99.5
YJL010C	289.5
YJL011C	107.5
YJL012C-A	663.0
YJL013C	
YJL016W	
YJL017W	
YJL018W	214.5
YJL021C	278.5
YJL024C	226.5
YJL025W	
YJL026W	11335.5
YJL029C	73.0
YJL030W	
YJL033W	253.0
YJL034W	197.0
YJL035C	
YJL036W	56.0
YJL039C	212.0
YJL041W	574.5
YJL042W	132.5
YJL043W	
YJL044C	66.0
YJL047C	
YJL048C	
YJL050W	329.5
YJL052W	1869.5
YJL053W	115.5
YJL054W	111.0
YJL055W	225.0
YJL056C	
YJL057C	
YJL058C	
YJL060W	
YJL061W	262.0
YJL062W	130.5
YJL062W-A	50.0
YJL063C	179.5
YJL065C	72.5
YJL066C	
YJL068C	
YJL069C	294.5
YJL070C	
YJL071W	
YJL074C	109.0
YJL076W	245.0
YJL078C	392.0
YJL079C	183.5
YJL080C	3012.0
YJL081C	
YJL082W	127.0
YJL084C	49.0
YJL085W	108.0
YJL087C	181.5
YJL088W	
YJL090C	
YJL091C	163.5
YJL092W	
YJL095W	
YJL096W	109.0
YJL097W	716.0
YJL098W	128.0
YJL099W	
YJL101C	
YJL102W	
YJL104W	401.0
YJL107C	
YJL109C	507.0
YJL110C	
YJL112W	101.0
YJL115W	205.0
YJL117W	1303.5
YJL121C	88.0
YJL122W	434.5
YJL123C	241.5
YJL124C	411.5
YJL125C	61.0
YJL127C	
YJL128C	223.0
YJL130C	1580.0
YJL131C	
YJL133W	
YJL136C	6006.0
YJL137C	
YJL138C	6542.0
YJL140W	493.5
YJL143W	759.0
YJL144W	
YJL145W	149.0
YJL146W	53.5
YJL147C	
YJL148W	487.5
YJL151C	1059.0
YJL153C	
YJL154C	261.0
YJL155C	
YJL157C	
YJL158C	
YJL161W	
YJL162C	
YJL164C	81.0
YJL166W	176.0
YJL168C	58.5
YJL169W	488.5
YJL171C	181.0
YJL173C	781.5
YJL176C	64.5
YJL177W	2306.0
YJL178C	219.0
YJL179W	123.0
YJL180C	
YJL183W	203.0
YJL186W	174.0
YJL190C	1487.5
YJL191W	483.0
YJL192C	526.0
YJL194W	
YJL196C	581.5
YJL197W	126.5
YJL198W	123.0
YJL200C	702.5
YJL201W	234.5
YJL203W	
YJL204C	
YJL207C	134.5
YJL208C	
YJL209W	
YJL210W	
YJL212C	294.5
YJL217W	100.5
YJL222W	
YJR003C	142.5
YJR005W	162.0
YJR006W	
YJR007W	1300.0
YJR008W	
YJR009C	15357.5
YJR010C-A	135.5
YJR010W	395.0
YJR011C	
YJR013W	117.5
YJR014W	713.0
YJR015W	68.5
YJR016C	2080.5
YJR017C	237.5
YJR022W	
YJR024C	
YJR025C	
YJR031C	80.5
YJR032W	154.0
YJR033C	61.5
YJR035W	
YJR041C	131.0
YJR042W	207.5
YJR043C	
YJR044C	139.0
YJR046W	
YJR047C	151.5
YJR048W	160.0
YJR049C	77.0
YJR050W	
YJR051W	
YJR052W	
YJR053W	
YJR054W	
YJR055W	
YJR056C	
YJR057W	
YJR058C	
YJR059W	286.0
YJR060W	299.0
YJR062C	
YJR063W	867.0
YJR067C	86.5
YJR068W	104.5
YJR069C	312.0
YJR070C	1716.5
YJR072C	430.0
YJR073C	119.5
YJR074W	
YJR075W	100.5
YJR076C	359.0
YJR077C	926.5
YJR080C	61.0
YJR082C	
YJR083C	67.5
YJR084W	
YJR085C	100.0
YJR086W	190.0
YJR088C	448.0
YJR089W	
YJR091C	103.0
YJR092W	59.5
YJR094W-A	3163.0
YJR096W	
YJR097W	100.5
YJR098C	
YJR101W	146.5
YJR103W	46.5
YJR104C	4445.0
YJR105W	2341.0
YJR109C	821.5
YJR110W	
YJR111C	
YJR112W	69.5
YJR113C	164.5
YJR116W	60.0
YJR117W	926.0
YJR118C	46.5
YJR119C	
YJR121W	1081.0
YJR122W	
YJR127C	
YJR129C	
YJR130C	
YJR131W	105.5
YJR132W	262.0
YJR133W	
YJR134C	
YJR135C	
YJR136C	
YJR137C	90.5
YJR138W	
YJR139C	484.0
YJR140C	
YJR143C	
YJR145C	7577.0
YJR146W	
YJR147W	102.5
YJR148W	735.0
YJR149W	
YJR154W	
YJR161C	
YKL001C	
YKL002W	71.0
YKL003C	
YKL004W	324.0
YKL006C-A	94.5
YKL006W	4400.0
YKL007W	332.0
YKL008C	344.0
YKL009W	461.0
YKL010C	94.5
YKL011C	
YKL012W	
YKL013C	308.5
YKL014C	237.0
YKL015W	
YKL016C	233.5
YKL017C	
YKL018C-A	62.0
YKL019W	
YKL020C	
YKL021C	221.5
YKL022C	
YKL023W	45.5
YKL024C	358.5
YKL025C	93.5
YKL026C	
YKL027W	259.0
YKL028W	183.0
YKL029C	312.0
YKL032C	319.5
YKL033W	
YKL035W	974.0
YKL038W	
YKL040C	351.0
YKL041W	165.0
YKL042W	
YKL043W	
YKL046C	403.0
YKL047W	
YKL048C	
YKL049C	111.0
YKL051W	133.5
YKL052C	192.5
YKL053C-A	101.0
YKL054C	3520.0
YKL055C	
YKL056C	6145.5
YKL058W	121.5
YKL059C	78.0
YKL060C	50570.5
YKL061W	87.0
YKL063C	68.0
YKL064W	50.0
YKL065C	452.0
YKL067W	694.0
YKL068W	158.5
YKL069W	146.5
YKL071W	6838.0
YKL072W	
YKL073W	
YKL074C	
YKL075C	
YKL077W	666.5
YKL078W	
YKL079W	98.5
YKL080W	949.5
YKL081W	4954.0
YKL085W	383.0
YKL086W	
YKL088W	183.0
YKL089W	55.5
YKL091C	
YKL092C	48.5
YKL094W	316.5
YKL095W	
YKL096W	1006.0
YKL096W-A	7350.0
YKL101W	
YKL102C	
YKL103C	71.0
YKL105C	
YKL106W	102.0
YKL108W	
YKL110C	83.0
YKL112W	325.5
YKL113C	97.0
YKL114C	
YKL116C	113.0
YKL117W	2017.0
YKL119C	
YKL120W	953.0
YKL122C	276.0
YKL125W	
YKL126W	319.0
YKL127W	174.0
YKL128C	201.0
YKL129C	218.5
YKL130C	129.0
YKL134C	
YKL135C	164.0
YKL138C	162.0
YKL139W	52.0
YKL140W	
YKL142W	297.0
YKL143W	255.5
YKL145W	1220.5
YKL146W	63.0
YKL149C	
YKL150W	
YKL151C	
YKL152C	13331.5
YKL154W	385.5
YKL155C	53.5
YKL156W	4055.5
YKL157W	364.5
YKL160W	275.5
YKL162C	
YKL164C	538.0
YKL165C	174.5
YKL166C	91.5
YKL167C	229.5
YKL168C	
YKL169C	
YKL170W	72.0
YKL173W	76.5
YKL175W	
YKL176C	
YKL179C	95.5
YKL180W	2481.0
YKL181W	277.5
YKL182W	4903.5
YKL183W	71.5
YKL184W	
YKL185W	
YKL186C	
YKL187C	
YKL189W	52.0
YKL190W	304.5
YKL191W	214.0
YKL192C	891.5
YKL193C	119.0
YKL194C	
YKL195W	99.5
YKL197C	51.5
YKL204W	200.5
YKL205W	69.5
YKL206C	94.0
YKL208W	
YKL209C	269.5
YKL210W	2179.0
YKL211C	545.5
YKL212W	794.0
YKL213C	104.0
YKL214C	
YKL215C	155.5
YKL216W	3820.5
YKL222C	
YKR001C	647.5
YKR002W	125.5
YKR003W	169.0
YKR006C	352.5
YKR007W	222.5
YKR008W	415.5
YKR010C	
YKR011C	
YKR013W	
YKR014C	551.5
YKR016W	
YKR018C	325.0
YKR020W	
YKR021W	
YKR022C	
YKR023W	58.5
YKR024C	149.5
YKR025W	202.0
YKR026C	260.0
YKR027W	
YKR029C	
YKR031C	49.5
YKR035W-A	230.0
YKR036C	
YKR037C	54.0
YKR038C	176.0
YKR039W	
YKR041W	
YKR042W	
YKR043C	513.0
YKR044W	
YKR045C	62.5
YKR046C	
YKR048C	681.5
YKR049C	
YKR052C	130.0
YKR054C	
YKR055W	
YKR057W	5398.5
YKR059W	3514.5
YKR060W	104.0
YKR062W	
YKR063C	
YKR064W	
YKR065C	198.5
YKR066C	132.5
YKR067W	167.5
YKR068C	100.5
YKR070W	
YKR071C	212.5
YKR072C	277.0
YKR074W	103.0
YKR075C	
YKR076W	
YKR077W	
YKR078W	
YKR079C	77.0
YKR080W	566.0
YKR081C	
YKR082W	280.5
YKR083C	138.0
YKR084C	163.5
YKR085C	105.5
YKR086W	
YKR087C	
YKR088C	234.5
YKR089C	
YKR090W	104.5
YKR092C	879.5
YKR093W	
YKR094C	2718.5
YKR095W	133.0
YKR096W	
YKR099W	
YKR100C	158.5
YKR103W	
YLL001W	
YLL002W	
YLL003W	61.0
YLL006W	
YLL007C	
YLL008W	455.5
YLL009C	1195.0
YLL010C	179.5
YLL011W	405.5
YLL012W	144.5
YLL013C	204.0
YLL014W	59.0
YLL015W	54.0
YLL018C	1555.0
YLL018C-A	343.5
YLL022C	113.5
YLL023C	180.5
YLL024C	37239.5
YLL026W	2351.0
YLL027W	111.0
YLL028W	414.0
YLL029W	249.5
YLL031C	152.0
YLL032C	87.0
YLL034C	102.0
YLL036C	108.0
YLL038C	165.5
YLL039C	101.5
YLL040C	153.5
YLL041C	174.0
YLL043W	172.0
YLL045C	6189.0
YLL048C	327.0
YLL051C	
YLL052C	
YLL054C	
YLL055W	
YLL060C	
YLL061W	46.0
YLL062C	
YLR001C	
YLR002C	282.5
YLR003C	
YLR005W	
YLR006C	
YLR011W	
YLR015W	
YLR016C	
YLR017W	90.0
YLR018C	228.0
YLR020C	80.0
YLR022C	270.5
YLR023C	
YLR024C	
YLR025W	162.0
YLR028C	623.5
YLR032W	
YLR033W	125.5
YLR034C	208.0
YLR035C	
YLR035C-A	
YLR036C	
YLR038C	
YLR039C	
YLR042C	
YLR043C	962.0
YLR044C	54803.0
YLR045C	87.5
YLR048W	6565.5
YLR050C	67.5
YLR051C	149.0
YLR052W	114.0
YLR055C	
YLR056W	1138.0
YLR058C	2171.5
YLR059C	295.0
YLR060W	1321.0
YLR061W	10117.0
YLR063W	84.5
YLR064W	457.5
YLR065C	70.0
YLR066W	140.5
YLR067C	
YLR068W	79.5
YLR069C	74.5
YLR071C	56.0
YLR072W	
YLR073C	87.0
YLR074C	282.5
YLR075W	5841.0
YLR079W	
YLR080W	
YLR082C	
YLR083C	878.5
YLR084C	282.5
YLR085C	
YLR086W	63.5
YLR088W	130.0
YLR090W	66.5
YLR091W	
YLR093C	
YLR094C	
YLR095C	74.5
YLR096W	49.0
YLR098C	
YLR100W	349.0
YLR102C	
YLR103C	46.0
YLR105C	
YLR106C	147.0
YLR107W	
YLR108C	98.0
YLR109W	22181.5
YLR110C	15061.0
YLR113W	400.5
YLR114C	198.0
YLR115W	53.5
YLR116W	100.0
YLR117C	
YLR118C	80.5
YLR120C	
YLR121C	50.5
YLR126C	
YLR127C	
YLR129W	
YLR130C	143.0
YLR131C	
YLR132C	
YLR133W	112.0
YLR134W	71.0
YLR135W	
YLR136C	
YLR138W	110.0
YLR139C	
YLR141W	
YLR142W	
YLR143W	61.0
YLR144C	49.5
YLR145W	
YLR146C	51.5
YLR148W	81.0
YLR149C	
YLR150W	6740.5
YLR153C	3521.0
YLR154C	
YLR163C	130.0
YLR166C	181.5
YLR168C	59.5
YLR172C	354.5
YLR175W	1151.5
YLR176C	
YLR177W	
YLR178C	
YLR179C	563.5
YLR180W	4914.0
YLR181C	85.5
YLR182W	87.0
YLR183C	
YLR185W	3501.5
YLR186W	158.5
YLR187W	72.0
YLR188W	
YLR189C	
YLR190W	71.0
YLR191W	
YLR192C	831.5
YLR193C	
YLR194C	117.0
YLR195C	
YLR196W	862.5
YLR197W	1526.0
YLR199C	
YLR200W	256.5
YLR201C	51.5
YLR203C	265.0
YLR204W	
YLR206W	167.5
YLR208W	
YLR210W	
YLR211C	
YLR212C	254.5
YLR215C	61.5
YLR216C	1053.0
YLR218C	76.0
YLR219W	113.5
YLR220W	
YLR221C	225.0
YLR222C	426.0
YLR223C	
YLR225C	117.0
YLR226W	81.0
YLR228C	
YLR231C	49.5
YLR234W	
YLR237W	87.5
YLR239C	
YLR240W	92.0
YLR244C	978.0
YLR245C	118.5
YLR247C	
YLR248W	268.0
YLR249W	26319.5
YLR250W	167.0
YLR253W	
YLR254C	
YLR257W	705.5
YLR258W	278.5
YLR259C	
YLR260W	
YLR262C	403.5
YLR262C-A	630.5
YLR263W	
YLR264W	311.0
YLR265C	
YLR266C	
YLR268W	98.0
YLR270W	85.5
YLR271W	
YLR272C	
YLR275W	
YLR277C	69.0
YLR278C	
YLR281C	
YLR283W	
YLR285W	249.0
YLR286C	194.0
YLR287C	268.0
YLR287C-A	3543.5
YLR289W	
YLR290C	
YLR291C	510.0
YLR292C	579.5
YLR295C	1340.5
YLR297W	
YLR298C	
YLR299W	
YLR300W	171.5
YLR301W	
YLR309C	142.5
YLR310C	
YLR312W-A	176.5
YLR313C	
YLR315W	54.0
YLR316C	
YLR319C	78.5
YLR321C	174.0
YLR323C	
YLR324W	64.5
YLR325C	2055.0
YLR326W	
YLR327C	173.0
YLR328W	173.0
YLR330W	
YLR332W	577.5
YLR333C	4177.0
YLR335W	313.0
YLR336C	119.0
YLR337C	121.5
YLR342W	253.5
YLR343W	
YLR344W	4776.5
YLR345W	55.0
YLR346C	
YLR347C	1435.5
YLR348C	94.5
YLR350W	305.5
YLR351C	86.5
YLR353W	
YLR354C	1475.0
YLR356W	
YLR357W	92.5
YLR360W	
YLR362W	
YLR363C	230.5
YLR363W-A	323.0
YLR364W	
YLR367W	2399.0
YLR369W	86.0
YLR370C	1287.0
YLR371W	
YLR372W	2768.5
YLR373C	79.5
YLR375W	
YLR376C	
YLR378C	5367.5
YLR380W	292.0
YLR381W	
YLR382C	
YLR383W	
YLR384C	519.0
YLR385C	
YLR386W	80.0
YLR387C	256.0
YLR388W	519.5
YLR390W	49.0
YLR390W-A	605.0
YLR392C	
YLR393W	
YLR395C	89.0
YLR396C	69.0
YLR397C	99.5
YLR398C	287.5
YLR399C	396.5
YLR401C	
YLR403W	52.0
YLR404W	
YLR405W	59.5
YLR406C	2607.5
YLR407W	192.0
YLR408C	
YLR409C	279.0
YLR410W	481.0
YLR412W	68.0
YLR413W	3919.0
YLR414C	444.5
YLR417W	
YLR418C	248.5
YLR420W	679.5
YLR421C	330.0
YLR422W	
YLR423C	
YLR424W	
YLR426W	
YLR427W	
YLR429W	391.5
YLR430W	62.5
YLR432W	1136.5
YLR433C	200.0
YLR435W	481.5
YLR436C	60.0
YLR438C-A	681.0
YLR438W	855.0
YLR439W	149.5
YLR440C	104.5
YLR441C	
YLR442C	
YLR447C	901.0
YLR448W	2509.0
YLR449W	527.5
YLR450W	107.5
YLR451W	
YLR452C	98.0
YLR453C	
YLR454W	
YLR455W	127.0
YLR457C	101.0
YML001W	327.5
YML004C	
YML005W	60.0
YML006C	
YML007C-A	131.0
YML007W	69.0
YML008C	1865.5
YML009C	102.5
YML010W	585.0
YML011C	
YML012W	1753.5
YML013W	
YML014W	49.5
YML016C	173.5
YML017W	200.5
YML018C	464.0
YML020W	54.5
YML021C	
YML022W	878.5
YML023C	
YML024W	5997.5
YML025C	177.5
YML026C	958.0
YML027W	
YML028W	7794.5
YML029W	48.5
YML030W	
YML031W	565.5
YML032C	59.5
YML034W	
YML035C	301.5
YML037C	
YML038C	290.5
YML041C	
YML043C	
YML046W	52.5
YML048W	75.0
YML049C	923.0
YML051W	
YML052W	1333.0
YML053C	
YML055W	320.0
YML056C	785.0
YML057W	189.0
YML058W	2516.0
YML058W-A	
YML059C	47.5
YML060W	
YML062C	97.0
YML063W	6993.0
YML064C	
YML067C	321.5
YML069W	531.0
YML070W	511.5
YML071C	100.5
YML072C	602.5
YML073C	3152.0
YML074C	700.5
YML075C	188.0
YML076C	
YML078W	
YML079W	
YML080W	61.5
YML081C-A	198.0
YML081W	
YML082W	97.0
YML085C	373.0
YML086C	541.0
YML088W	
YML091C	63.5
YML092C	1690.0
YML093W	194.5
YML094W	115.0
YML095C	
YML096W	50.0
YML097C	87.0
YML098W	
YML099C	
YML100W	482.0
YML101C	186.5
YML102W	85.0
YML103C	229.5
YML104C	
YML105C	438.5
YML106W	932.5
YML107C	
YML108W	98.5
YML109W	
YML110C	
YML111W	
YML112W	85.0
YML113W	106.5
YML114C	
YML115C	106.5
YML116W	
YML117W	137.5
YML120C	415.0
YML121W	71.0
YML124C	282.0
YML125C	684.5
YML126C	2123.5
YML127W	227.5
YML128C	
YML129C	138.0
YML131W	
YML132W	
YMR001C	
YMR002W	1102.5
YMR003W	
YMR004W	85.0
YMR009W	103.0
YMR010W	285.5
YMR011W	3451.0
YMR012W	1682.5
YMR014W	176.0
YMR015C	1020.0
YMR016C	82.0
YMR019W	
YMR021C	
YMR022W	
YMR023C	
YMR024W	192.5
YMR026C	
YMR027W	403.0
YMR029C	
YMR030W	
YMR031C	421.0
YMR032W	49.0
YMR036C	
YMR037C	75.0
YMR038C	829.5
YMR039C	165.5
YMR042W	
YMR043W	189.5
YMR044W	
YMR047C	
YMR048W	234.5
YMR049C	
YMR052W	
YMR054W	72.5
YMR055C	
YMR056C	
YMR058W	2087.0
YMR059W	
YMR060C	
YMR061W	72.0
YMR062C	
YMR064W	
YMR066W	
YMR067C	59.5
YMR069W	45.5
YMR070W	90.0
YMR071C	547.5
YMR072W	583.0
YMR073C	
YMR074C	189.0
YMR075W	
YMR076C	67.5
YMR077C	
YMR078C	
YMR079W	1590.0
YMR080C	375.0
YMR083W	195.0
YMR086W	130.0
YMR089C	184.5
YMR090W	
YMR091C	159.0
YMR092C	760.5
YMR093W	158.0
YMR095C	
YMR097C	
YMR098C	
YMR099C	119.5
YMR102C	
YMR104C	
YMR105C	654.5
YMR106C	
YMR108W	
YMR109W	401.5
YMR110C	
YMR111C	
YMR112C	55.5
YMR113W	52.5
YMR114C	
YMR115W	
YMR117C	72.0
YMR119W	
YMR120C	3689.0
YMR121C	92.5
YMR122W-A	1145.0
YMR123W	746.5
YMR124W	55.5
YMR125W	297.5
YMR127C	
YMR128W	231.0
YMR129W	
YMR131C	1508.0
YMR132C	
YMR134W	160.0
YMR135C	
YMR137C	
YMR138W	
YMR139W	63.0
YMR140W	84.5
YMR142C	3994.0
YMR143W	3569.5
YMR144W	
YMR145C	159.0
YMR148W	169.0
YMR149W	768.0
YMR152W	205.0
YMR153W	131.0
YMR157C	
YMR159C	
YMR160W	
YMR161W	72.5
YMR162C	
YMR163C	
YMR164C	
YMR165C	69.5
YMR166C	
YMR167W	
YMR168C	
YMR169C	
YMR170C	
YMR171C	102.5
YMR172W	
YMR173W	201.5
YMR174C	
YMR175W	
YMR176W	
YMR177W	47.5
YMR178W	98.5
YMR179W	
YMR182C	
YMR183C	121.0
YMR184W	83.0
YMR186W	242.0
YMR188C	224.5
YMR189W	505.0
YMR190C	
YMR192W	111.0
YMR193W	170.0
YMR194W	2312.5
YMR195W	
YMR196W	59.5
YMR198W	
YMR199W	
YMR200W	635.5
YMR201C	
YMR202W	
YMR204C	
YMR205C	8363.5
YMR207C	
YMR208W	294.5
YMR209C	
YMR212C	211.5
YMR213W	
YMR214W	74.5
YMR215W	301.0
YMR216C	173.5
YMR218C	
YMR219W	
YMR220W	220.5
YMR221C	
YMR222C	159.5
YMR223W	
YMR224C	
YMR225C	
YMR226C	213.5
YMR227C	
YMR229C	919.5
YMR230W	3072.5
YMR231W	101.0
YMR232W	
YMR233W	
YMR234W	
YMR235C	1270.0
YMR236W	248.5
YMR237W	235.5
YMR238W	343.0
YMR239C	72.0
YMR240C	
YMR241W	672.5
YMR242C	3259.5
YMR243C	692.0
YMR244C-A	182.5
YMR246W	1765.0
YMR250W	
YMR251W-A	1662.5
YMR252C	
YMR253C	102.5
YMR255W	136.0
YMR256C	261.0
YMR257C	
YMR258C	
YMR259C	179.0
YMR260C	1289.5
YMR261C	615.5
YMR263W	
YMR264W	
YMR266W	340.0
YMR267W	
YMR268C	
YMR269W	88.0
YMR270C	
YMR271C	
YMR272C	192.5
YMR273C	
