MPN ID	Control (copies/cell)
MPN219	103
MPN218	109
MPN217	63
MPN216	198
MPN215	115
MPN214	8
MPN213	34
MPN211	55
MPN210	70
MPN208	537
MPN106	23
MPN105	66
MPN207	475
MPN170	10
MPN169	8
MPN168	123
MPN167	191
MPN166	85
MPN165	230
MPN164	24
MPN163	54
MPN162	141
MPN161	155
MPN159	12
MPN158	12
MPN157	81
MPN156	4
MPN155	121
MPN154	119
MPN090	5
MPN083	10
MPN082	294
MPN081	15
MPN080	21
MPN060	47
MPN021	74
MPN009	3
MPN674	1038
MPN631	335
MPN629	63
MPN576	411
MPN573	2183
MPN516	168
MPN122	9
MPN120	218
MPN429	976
MPN401	288
MPN360	29
MPN357	23
MPN352	130
MPN117	10
MPN115	258
MPN332	122
MPN325	15
MPN324	301
MPN321	77
MPN320	216
MPN307	5
MPN303	418
MPN261	299
MPN250	536
MPN221	8
MPN220	65
MPN209	132
MPN186	21
MPN200	28
MPN199	5
MPN196	3
MPN195	14
MPN194	28
MPN193	25
MPN191	474
MPN190	100
MPN189	17
MPN187	25
MPN185	29
MPN183	33
MPN182	156
MPN181	12
MPN180	114
MPN179	36
MPN178	23
MPN177	43
MPN175	9
MPN174	74
MPN173	22
MPN002	6
MPN001	266
MPN688	238
MPN687	20
MPN685	172
MPN602	27
MPN600	63
MPN599	21
MPN598	246
MPN597	3
MPN596	5
MPN592	14
MPN591	21
MPN142	216
MPN452	527
MPN449	59
MPN447	94
MPN184	56
MPN686	55
MPN254	13
MPN272	24
MPN377	154
MPN388	74
MPN495	57
