Accession number	Control (copies/cell Spectral counts)
YP_000847.1	
YP_000848.1	
YP_000849.1	
YP_000857.1	
YP_000859.1	
YP_000870.1	
YP_000871.1	
YP_000872.1	
YP_000874.1	
YP_000876.1	
YP_000880.1	
YP_000882.1	
YP_000883.1	
YP_000884.1	
YP_000885.1	
YP_000886.1	
YP_000889.1	
YP_000892.1	
YP_000896.1	
YP_000899.1	
YP_000901.1	
YP_000907.1	
YP_000908.1	
YP_000911.1	
YP_000913.1	
YP_000914.1	
YP_000915.1	
YP_000916.1	
YP_000917.1	
YP_000918.1	
YP_000919.1	
YP_000920.1	
YP_000925.1	
YP_000927.1	
YP_000928.1	
YP_000930.1	
YP_000931.1	
YP_000934.1	
YP_000936.1	
YP_000937.1	
YP_000939.1	
YP_000945.1	
YP_000953.1	
YP_000969.1	
YP_000971.1	
YP_000987.1	
YP_000992.1	
YP_000999.1	
YP_001003.1	
YP_001004.1	
YP_001011.1	
YP_001012.1	
YP_001013.1	
YP_001014.1	
YP_001017.1	
YP_001019.1	
YP_001022.1	
YP_001023.1	
YP_001025.1	
YP_001026.1	
YP_001027.1	
YP_001039.1	
YP_001047.1	
YP_001048.1	
YP_001053.1	
YP_001054.1	
YP_001062.1	
YP_001064.1	
YP_001069.1	
YP_001070.1	
YP_001072.1	
YP_001079.1	
YP_001084.1	
YP_001086.1	
YP_001088.1	
YP_001089.1	
YP_001090.1	
YP_001091.1	
YP_001103.1	
YP_001108.1	
YP_001109.1	
YP_001123.1	
YP_001127.1	
YP_001130.1	
YP_001134.1	
YP_001138.1	
YP_001139.1	
YP_001140.1	
YP_001144.1	
YP_001148.1	
YP_001160.1	
YP_001174.1	
YP_001176.1	
YP_001183.1	
YP_001184.1	
YP_001186.1	
YP_001187.1	
YP_001191.1	
YP_001192.1	
YP_001194.1	
YP_001195.1	
YP_001197.1	
YP_001203.1	
YP_001204.1	
YP_001205.1	
YP_001214.1	
YP_001218.1	
YP_001220.1	
YP_001222.1	
YP_001224.1	
YP_001225.1	
YP_001234.1	
YP_001238.1	
YP_001243.1	
YP_001247.1	
YP_001250.1	
YP_001254.1	
YP_001255.1	
YP_001259.1	
YP_001267.1	
YP_001272.1	
YP_001273.1	
YP_001280.1	
YP_001281.1	
YP_001282.1	
YP_001285.1	
YP_001287.1	
YP_001288.1	
YP_001297.1	
YP_001301.1	
YP_001304.1	
YP_001305.1	
YP_001306.1	
YP_001312.1	
YP_001313.1	
YP_001315.1	
YP_001322.1	
YP_001331.1	
YP_001343.1	
YP_001346.1	
YP_001349.1	
YP_001350.1	
YP_001358.1	
YP_001360.1	
YP_001374.1	
YP_001381.1	
YP_001391.1	
YP_001425.1	
YP_001427.1	
YP_001437.1	
YP_001463.1	
YP_001472.1	
YP_001489.1	
YP_001492.1	
YP_001501.1	
YP_001520.1	
YP_001533.1	
YP_001534.1	
YP_001535.1	
YP_001540.1	
YP_001541.1	
YP_001542.1	
YP_001547.1	
YP_001551.1	
YP_001552.1	
YP_001561.1	
YP_001596.1	
YP_001597.1	
YP_001598.1	
YP_001602.1	
YP_001607.1	
YP_001620.1	
YP_001621.1	
YP_001623.1	
YP_001633.1	
YP_001635.1	
YP_001638.1	
YP_001640.1	
YP_001641.1	
YP_001642.1	
YP_001644.1	
YP_001652.1	
YP_001657.1	
YP_001667.1	
YP_001674.1	
YP_001676.1	
YP_001679.1	
YP_001682.1	
YP_001685.1	
YP_001686.1	
YP_001696.1	
YP_001707.1	
YP_001713.1	
YP_001714.1	
YP_001715.1	
YP_001723.1	
YP_001724.1	
YP_001735.1	
YP_001737.1	
YP_001747.1	
YP_001750.1	
YP_001758.1	
YP_001769.1	
YP_001779.1	
YP_001782.1	
YP_001791.1	
YP_001792.1	
YP_001799.1	
YP_001805.1	
YP_001811.1	
YP_001817.1	
YP_001826.1	
YP_001827.1	
YP_001840.1	
YP_001841.1	
YP_001843.1	
YP_001849.1	
YP_001850.1	
YP_001854.1	
YP_001868.1	
YP_001871.1	
YP_001877.1	
YP_001878.1	
YP_001881.1	
YP_001884.1	
YP_001887.1	
YP_001894.1	
YP_001897.1	
YP_001898.1	
YP_001901.1	
YP_001906.1	
YP_001907.1	
YP_001909.1	
YP_001923.1	
YP_001925.1	
YP_001926.1	
YP_001933.1	
YP_001934.1	
YP_001935.1	
YP_001936.1	
YP_001938.1	
YP_001943.1	
YP_001945.1	
YP_001946.1	
YP_001950.1	
YP_001952.1	
YP_001959.1	
YP_001961.1	
YP_001974.1	
YP_001977.1	
YP_001978.1	
YP_001979.1	
YP_001980.1	
YP_001983.1	
YP_001984.1	
YP_001985.1	
YP_001986.1	
YP_001987.1	
YP_001988.1	
YP_001989.1	
YP_001990.1	
YP_002010.1	
YP_002011.1	
YP_002015.1	
YP_002017.1	
YP_002023.1	
YP_002026.1	
YP_002027.1	
YP_002033.1	
YP_002037.1	
YP_002050.1	
YP_002054.1	
YP_002070.1	
YP_002081.1	
YP_002094.1	
YP_002095.1	
YP_002147.1	
YP_002151.1	
YP_002154.1	
YP_002158.1	
YP_002161.1	
YP_002163.1	
YP_002164.1	
YP_002169.1	
YP_002172.1	
YP_002174.1	
YP_002176.1	
YP_002177.1	
YP_002184.1	
YP_002190.1	
YP_002193.1	
YP_002196.1	
YP_002199.1	
YP_002200.1	
YP_002205.1	
YP_002206.1	
YP_002207.1	
YP_002212.1	
YP_002215.1	
YP_002217.1	
YP_002218.1	
YP_002233.1	
YP_002234.1	
YP_002248.1	
YP_002270.1	
YP_002275.1	
YP_002276.1	
YP_002277.1	
YP_002280.1	
YP_002283.1	
YP_002284.1	
YP_002288.1	
YP_002290.1	
YP_002291.1	
YP_002295.1	
YP_002299.1	
YP_002301.1	
YP_002302.1	
YP_002308.1	
YP_002313.1	
YP_002315.1	
YP_002317.1	
YP_002326.1	
YP_002327.1	
YP_002335.1	
YP_002337.1	
YP_002338.1	
YP_002341.1	
YP_002342.1	
YP_002351.1	
YP_002355.1	
YP_002356.1	
YP_002357.1	
YP_002358.1	
YP_002363.1	
YP_002365.1	
YP_002366.1	
YP_002370.1	
YP_002371.1	
YP_002372.1	
YP_002392.1	
YP_002401.1	
YP_002408.1	
YP_002411.1	
YP_002419.1	
YP_002425.1	
YP_002431.1	
YP_002435.1	
YP_002439.1	
YP_002445.1	
YP_002446.1	
YP_002447.1	
YP_002450.1	
YP_002458.1	
YP_002460.1	
YP_002461.1	
YP_002479.1	
YP_002482.1	
YP_002484.1	
YP_002485.1	
YP_002486.1	
YP_002507.1	
YP_002508.1	
YP_002509.1	
YP_002516.1	
YP_002517.1	
YP_002520.1	
YP_002527.1	
YP_002529.1	
YP_002534.1	
YP_002535.1	
YP_002546.1	
YP_002547.1	
YP_002548.1	
YP_002549.1	
YP_002551.1	
YP_002553.1	
YP_002563.1	
YP_002564.1	
YP_002565.1	
YP_002573.1	
YP_002575.1	
YP_002579.1	
YP_002580.1	
YP_002581.1	
YP_002584.1	
YP_002586.1	
YP_002587.1	
YP_002594.1	
YP_002595.1	
YP_002596.1	
YP_002600.1	
YP_002617.1	
YP_002618.1	
YP_002619.1	
YP_002631.1	
YP_002633.1	
YP_002634.1	
YP_002636.1	
YP_002644.1	
YP_002648.1	
YP_002649.1	
YP_002652.1	
YP_002655.1	
YP_002673.1	
YP_002674.1	
YP_002683.1	
YP_002687.1	
YP_002688.1	
YP_002694.1	
YP_002696.1	
YP_002698.1	
YP_002706.1	
YP_002707.1	
YP_002708.1	
YP_002711.1	
YP_002714.1	
YP_002716.1	
YP_002720.1	
YP_002721.1	
YP_002723.1	
YP_002726.1	
YP_002727.1	
YP_002732.1	
YP_002734.1	
YP_002735.1	
YP_002739.1	
YP_002741.1	
YP_002742.1	
YP_002746.1	
YP_002751.1	
YP_002753.1	
YP_002756.1	
YP_002758.1	
YP_002759.1	
YP_002760.1	
YP_002795.1	
YP_002797.1	
YP_002798.1	
YP_002803.1	
YP_002805.1	
YP_002806.1	
YP_002810.1	
YP_002813.1	
YP_002814.1	
YP_002816.1	
YP_002819.1	
YP_002821.1	
YP_002827.1	
YP_002828.1	
YP_002829.1	
YP_002830.1	
YP_002831.1	
YP_002832.1	
YP_002833.1	
YP_002834.1	
YP_002835.1	
YP_002840.1	
YP_002843.1	
YP_002844.1	
YP_002846.1	
YP_002853.1	
YP_002862.1	
YP_002869.1	
YP_002872.1	
YP_002875.1	
YP_002880.1	
YP_002881.1	
YP_002886.1	
YP_002890.1	
YP_002898.1	
YP_002899.1	
YP_002900.1	
YP_002903.1	
YP_002904.1	
YP_002906.1	
YP_002910.1	
YP_002912.1	
YP_002913.1	
YP_002918.1	
YP_002920.1	
YP_002921.1	
YP_002926.1	
YP_002927.1	
YP_002931.1	
YP_002932.1	
YP_002937.1	
YP_002938.1	
YP_002940.1	
YP_002943.1	
YP_002947.1	
YP_002952.1	
YP_002957.1	
YP_002959.1	
YP_002960.1	
YP_002966.1	
YP_002969.1	
YP_002991.1	
YP_002993.1	
YP_003003.1	
YP_003008.1	
YP_003015.1	
YP_003016.1	
YP_003018.1	
YP_003021.1	
YP_003028.1	
YP_003030.1	
YP_003033.1	
YP_003035.1	
YP_003040.1	
YP_003047.1	
YP_003057.1	
YP_003064.1	
YP_003065.1	
YP_003066.1	
YP_003075.1	
YP_003078.1	
YP_003079.1	
YP_003081.1	
YP_003094.1	
YP_003096.1	
YP_003099.1	
YP_003105.1	
YP_003107.1	
YP_003108.1	
YP_003111.1	
YP_003119.1	
YP_003121.1	
YP_003125.1	
YP_003133.1	
YP_003134.1	
YP_003135.1	
YP_003136.1	
YP_003137.1	
YP_003146.1	
YP_003148.1	
YP_003150.1	
YP_003153.1	
YP_003161.1	
YP_003167.1	
YP_003172.1	
YP_003174.1	
YP_003184.1	
YP_003191.1	
YP_003197.1	
YP_003199.1	
YP_003201.1	
YP_003208.1	
YP_003209.1	
YP_003211.1	
YP_003212.1	
YP_003222.1	
YP_003228.1	
YP_003232.1	
YP_003234.1	
YP_003240.1	
YP_003245.1	
YP_003247.1	
YP_003249.1	
YP_003254.1	
YP_003257.1	
YP_003270.1	
YP_003278.1	
YP_003283.1	
YP_003289.1	
YP_003291.1	
YP_003293.1	
YP_003294.1	
YP_003301.1	
YP_003303.1	
YP_003321.1	
YP_003324.1	
YP_003328.1	
YP_003329.1	
YP_003332.1	
YP_003340.1	
YP_003343.1	
YP_003348.1	
YP_003349.1	
YP_003355.1	
YP_003357.1	
YP_003358.1	
YP_003361.1	
YP_003365.1	
YP_003368.1	
YP_003369.1	
YP_003370.1	
YP_003378.1	
YP_003385.1	
YP_002087.1	
YP_003399.1	
YP_003411.1	
YP_003431.1	
YP_003438.1	
YP_003445.1	
YP_003447.1	
YP_003448.1	
YP_003451.1	
YP_003455.1	
YP_003462.1	
YP_003465.1	
YP_003487.1	
YP_003495.1	
YP_003499.1	
YP_003502.1	
YP_003508.1	
YP_003509.1	
YP_003514.1	
YP_003525.1	
YP_003530.1	
YP_003541.1	
YP_003543.1	
YP_003546.1	
YP_003548.1	
YP_003564.1	
YP_003565.1	
YP_003580.1	
YP_003590.1	
YP_003591.1	
YP_003601.1	
YP_003602.1	
YP_003604.1	
YP_003608.1	
YP_003610.1	
YP_003630.1	
YP_003636.1	
YP_003639.1	
YP_003641.1	
YP_003642.1	
YP_003644.1	
YP_003645.1	
YP_003646.1	
YP_003647.1	
YP_003651.1	
YP_003652.1	
YP_003655.1	
YP_001383.1	40
YP_001885.1	14
CYSA_LEPIC	308
YP_001236.1	281
YP_001664.1	30
YP_001883.1	14
YP_001332.1	
YP_001886.1	
YP_002159.1	44
YP_001470.1	44
YP_002240.1	37
YP_003083.1	34
YP_002336.1	17
YP_003306.1	17
YP_000476.1	5
ATKB_LEPIC	
YP_003342.1	
YP_001956.1	
YP_002824.1	
YP_002902.1	
YP_001882.1	
YP_001494.1	
YP_003267.1	
YP_002052.1	
YP_001198.1	
YP_003347.1	
YP_001666.1	
YP_003113.1	
YP_002895.1	
YP_000660.1	
YP_000661.1	
YP_002896.1	
YP_003082.1	
YP_001662.1	
YP_000264.1	
ATKA_LEPIC	
ATKC_LEPIC	
KPRS_LEPIC	674
NDK_LEPIC	335
YP_002825.1	375
KAD_LEPIC	1009
PYRH_LEPIC	114
YP_002258.1	574
YP_002135.1	114
YP_002278.1	177
YP_000703.1	185
YP_001512.1	27
YP_001102.1	166
YP_003648.1	281
YP_001497.1	162
PROB_LEPIC	151
KTHY_LEPIC	68
YP_003480.1	61
YP_002246.1	50
YP_000739.1	40
YP_001738.1	37
YP_000114.1	37
YP_001498.1	30
YP_003449.1	24
YP_003619.1	17
YP_002322.1	5
YP_002749.1	
YP_001384.1	
YP_001274.1	
YP_003513.1	
YP_003013.1	
YP_001188.1	2052
YP_002168.1	2138
YP_002339.1	2543
YP_000199.1	281
YP_000944.1	2234
YP_002024.1	1305
SUCC_LEPIC	2317
YP_002016.1	5019
YP_001164.1	1371
YP_001733.1	2948
YP_003456.1	537
YP_001323.1	966
YP_000200.1	64
PPCK_LEPIC	1597
YP_002498.1	1543
YP_001970.1	2761
ILVC_LEPIC	1610
YP_003205.1	2221
YP_001941.1	1195
YP_001734.1	375
YP_000091.1	320
TPX_LEPIC	1039
YP_001065.1	110
YP_000852.1	40
YP_000839.1	188
YP_000397.1	1305
YP_000046.1	1668
YP_000280.1	121
YP_000854.1	37
YP_001400.1	456
YP_001328.1	1073
YP_003070.1	795
ENO_LEPIC	808
YP_001788.1	177
YP_000111.1	96
YP_001588.1	447
YP_000567.1	766
YP_001683.1	411
YP_002100.1	657
YP_001916.1	996
FUMC_LEPIC	699
LEU2_LEPIC	620
YP_002745.1	488
TIG_LEPIC	1056
YP_002659.1	919
ODO1_LEPIC	1217
YP_002404.1	1401
YP_003151.1	1993
YP_002423.1	367
YP_001476.1	1061
YP_001847.1	427
YP_002101.1	859
YP_001386.1	447
YP_002922.1	703
YP_003450.1	435
YP_003489.1	129
YP_001276.1	64
DAPA_LEPIC	779
YP_003616.1	284
YP_002228.1	411
YP_001473.1	47
YP_002615.1	690
YP_003492.1	427
LEU3_LEPIC	537
DCD_LEPIC	125
YP_000315.1	230
ARGC_LEPIC	669
YP_000045.1	517
YP_001168.1	850
YP_000244.1	1069
YP_000506.1	480
YP_001915.1	288
YP_002137.1	578
YP_002129.1	707
YP_002403.1	906
YP_003044.1	944
YP_001875.1	211
YP_002681.1	211
TPIS_LEPIC	411
LEUD_LEPIC	492
PURQ_LEPIC	110
YP_000468.1	923
YP_002478.1	246
YP_003258.1	215
YP_002645.1	316
YP_002541.1	517
YP_003485.1	757
YP_000933.1	169
SYA_LEPIC	339
YP_001576.1	403
YP_003418.1	40
YP_003623.1	89
YP_003102.1	140
YP_002490.1	517
YP_000555.1	324
PROA_LEPIC	242
YP_001865.1	636
YP_003084.1	129
YP_000714.1	143
YP_000307.1	288
YP_001771.1	332
TRPB_LEPIC	132
YP_001393.1	203
YP_001846.1	332
ISPH_LEPIC	292
YP_000549.1	513
YP_002058.1	324
YP_000019.1	529
YP_003539.1	257
YP_000066.1	71
YP_000932.1	316
YP_003598.1	359
YP_000152.1	431
YP_003597.1	553
YP_000329.1	992
YP_001651.1	351
YP_001560.1	82
YP_001399.1	50
YP_003345.1	192
ILVD_LEPIC	582
YP_001860.1	14
YP_002262.1	339
YP_003477.1	753
YP_002088.1	234
YP_000228.1	347
YP_000566.1	192
YP_001931.1	363
DAPF_LEPIC	324
GCSP_LEPIC	324
YP_002075.1	591
YP_001891.1	
YP_000368.1	403
SYS_LEPIC	355
YP_003076.1	452
YP_002601.1	82
YP_000877.1	17
YP_002104.1	177
YP_003109.1	82
ISPG_LEPIC	203
YP_001319.1	246
YP_000425.1	525
YP_002571.1	118
YP_002060.1	324
YP_000988.1	230
YP_000431.1	517
YP_000530.1	78
YP_002085.1	82
YP_003529.1	57
YP_003233.1	375
YP_000815.1	249
YP_001600.1	118
DHAS_LEPIC	439
YP_002111.1	96
YP_002261.1	427
YP_002107.1	57
GPDA_LEPIC	140
YP_003182.1	96
YP_002012.1	147
YP_001691.1	253
GATC_LEPIC	27
YP_002040.1	14
YP_002552.1	521
YP_000069.1	480
YP_002130.1	468
YP_002839.1	427
YP_003446.1	371
YP_002138.1	359
HIS4_LEPIC	335
YP_001917.1	324
YP_001710.1	273
PYRG_LEPIC	261
SERC_LEPIC	242
YP_002380.1	226
YP_003300.1	219
NADA_LEPIC	203
YP_000428.1	188
DAPB_LEPIC	185
YP_001760.1	185
HIS7_LEPIC	177
YP_002710.1	169
YP_002471.1	155
YP_003402.1	147
YP_002699.1	132
YP_002320.1	118
YP_001268.1	118
YP_001626.1	107
YP_000565.1	92
YP_001252.1	89
YP_001718.1	85
YP_000664.1	71
YP_002102.1	71
ARLY_LEPIC	64
YP_003140.1	64
YP_002091.1	61
PAND_LEPIC	50
YP_002226.1	50
PLSX_LEPIC	37
YP_001699.1	37
YP_001452.1	37
YP_001835.1	14
YP_003609.1	11
YP_001377.1	8
YP_003051.1	8
YP_001058.1	
YP_000024.1	
YP_003110.1	
YP_000586.1	343
YP_003396.1	304
YP_003414.1	269
GPMI_LEPIC	238
YP_002209.1	230
YP_000443.1	223
ALR_LEPIC	223
YP_001574.1	211
YP_001592.1	203
MGSA_LEPIC	200
YP_002073.1	185
MTNA_LEPIC	173
YP_003061.1	173
YP_001314.1	166
YP_002186.1	151
YP_001040.1	140
YP_003277.1	140
YP_000770.1	136
YP_000776.1	136
YP_002093.1	136
YP_002108.1	129
YP_000527.1	125
AROC_LEPIC	121
YP_000641.1	121
HISX_LEPIC	121
YP_002444.1	114
DXR_LEPIC	107
YP_001754.1	107
YP_003080.1	107
AROB_LEPIC	103
YP_002084.1	103
YP_000444.1	103
YP_000943.1	100
YP_002463.1	96
YP_001093.1	89
YP_000185.1	89
YP_003423.1	89
YP_001629.1	85
YP_000811.1	85
YP_001159.1	85
YP_001363.1	85
TRPA_LEPIC	85
YP_002554.1	82
YP_002736.1	82
YP_002309.1	82
YP_003336.1	78
YP_000923.1	75
YP_000040.1	75
YP_000778.1	71
YP_001129.1	71
YP_000258.1	64
YP_003407.1	64
YP_000625.1	64
YP_001939.1	64
HISZ_LEPIC	61
YP_002139.1	57
YP_001253.1	57
YP_001701.1	57
YP_000039.1	54
YP_002059.1	54
G6PI_LEPIC	50
YP_000285.1	47
YP_002263.1	47
YP_003168.1	47
YP_002035.1	47
YP_001321.1	44
YP_001890.1	44
YP_000183.1	44
YP_001415.1	44
YP_003050.1	44
YP_001264.1	44
YP_001668.1	40
YP_001075.1	40
YP_000710.1	40
YP_003640.1	37
YP_002079.1	37
YP_003472.1	34
YP_000022.1	34
YP_002481.1	34
YP_002901.1	34
YP_002495.1	34
YP_003122.1	34
ISPF_LEPIC	30
AROA_LEPIC	30
YP_000277.1	30
YP_001235.1	30
YP_002098.1	27
YP_002266.1	27
YP_000194.1	27
YP_003049.1	27
YP_001513.1	27
YP_002112.1	27
ISPE_LEPIC	24
YP_001015.1	24
YP_003239.1	24
YP_001744.1	24
TRPC_LEPIC	24
YP_002848.1	24
YP_002889.1	24
YP_000313.1	24
YP_000790.1	24
YP_000326.1	24
PDXH_LEPIC	24
YP_002604.1	21
YP_003116.1	21
YP_002841.1	21
YP_003583.1	21
YP_002224.1	21
GSH1_LEPIC	17
YP_003315.1	17
YP_003041.1	17
SPEH_LEPIC	17
YP_003578.1	17
MURI_LEPIC	17
YP_002639.1	14
YP_002071.1	14
YP_000201.1	14
YP_002434.1	11
YP_001761.1	11
YP_003187.1	11
YP_002379.1	11
YP_001728.1	11
YP_003273.1	11
YP_000578.1	8
YP_003271.1	8
YP_002916.1	8
YP_000789.1	8
YP_000198.1	8
YP_000094.1	5
YP_001567.1	5
YP_001545.1	5
YP_000245.1	5
YP_000095.1	5
YP_000878.1	2
YP_003214.1	
YP_000617.1	
YP_003103.1	
YP_002518.1	
YP_000601.1	
YP_002613.1	
MRAY_LEPIC	
YP_003522.1	
YP_000791.1	
YP_003584.1	
YP_001307.1	
YP_002521.1	
YP_003118.1	
YP_000186.1	
YP_001544.1	
YP_001568.1	
YP_000511.1	
YP_003132.1	
YP_003106.1	
YP_002956.1	
YP_003409.1	
YP_001375.1	
YP_003263.1	
YP_003280.1	
YP_000071.1	
YP_003400.1	
YP_003406.1	
YP_003046.1	
YP_001809.1	
YP_000196.1	
YP_001687.1	
YP_002254.1	
YP_003614.1	
YP_003486.1	
YP_002917.1	
YP_002984.1	
YP_000236.1	
YP_002592.1	
YP_003467.1	
YP_003117.1	
YP_001563.1	
YP_001010.1	
YP_000274.1	
YP_001407.1	
YP_000632.1	
YP_002826.1	
YP_002323.1	
YP_003519.1	
YP_003463.1	
YP_001115.1	
YP_000974.1	
YP_000031.1	
YP_001390.1	
YP_001389.1	
COBD_LEPIC	
COBS_LEPIC	
YP_001169.1	
YP_000195.1	
YP_000946.1	
YP_000336.1	
YP_002754.1	
YP_002149.1	
YP_001824.1	
YP_001834.1	1727
YP_002221.1	292
YP_001318.1	1494
YP_000009.1	292
YP_000856.1	57
YP_001783.1	249
YP_000902.1	375
YP_002468.1	44
YP_002971.1	110
Y3406_LEPIN	203
YP_000291.1	34
YP_003157.1	92
YP_001265.1	5
YP_000491.1	34
YP_001692.1	363
YP_001028.1	
YP_000531.1	37
YP_003246.1	24
YP_000242.1	8
YP_001693.1	166
YP_002811.1	30
YP_000054.1	44
YP_000697.1	129
YP_000301.1	304
YP_001018.1	230
YP_000532.1	230
YP_002223.1	57
Y2681_LEPIC	50
YP_002421.1	47
YP_003494.1	30
YP_002430.1	27
YP_000355.1	21
YP_001892.1	14
YP_001663.1	11
YP_000774.1	11
YP_001851.1	8
YP_001940.1	5
YP_001705.1	
YP_000895.1	
YP_003531.1	
YP_000007.1	
YP_002863.1	132
YP_002992.1	85
YP_002292.1	71
YP_002939.1	61
YP_002744.1	57
YP_001092.1	47
YP_002978.1	47
YP_000131.1	47
Y1384_LEPIC	44
YP_001231.1	40
YP_001104.1	37
YP_002188.1	37
YP_003059.1	37
YP_001246.1	34
YP_000970.1	30
Y3128_LEPIN	27
YP_002048.1	24
Y3475_LEPIC	24
YP_001759.1	24
YP_001216.1	21
YP_003243.1	21
YP_000910.1	17
YP_000284.1	14
YP_002511.1	14
YP_000275.1	14
YP_003045.1	8
YP_001137.1	8
YP_002143.1	8
YP_002747.1	8
YP_000268.1	8
YP_003504.1	5
YP_001526.1	5
YP_001725.1	5
YP_000358.1	5
YP_001550.1	
YP_003186.1	
YP_002589.1	
YP_002701.1	
Y2707_LEPIC	
Y3295_LEPIC	
YP_001616.1	
YP_001829.1	
YP_003123.1	
YP_000938.1	
YP_003166.1	
YP_001162.1	
YP_001454.1	
YP_000492.1	
YP_000909.1	
YP_000493.1	
YP_001122.1	
YP_002582.1	
YP_002987.1	
YP_000984.1	
YP_000021.1	
YP_002038.1	
YP_001948.1	
YP_001572.1	
YP_001087.1	
YP_000904.1	
LNT1_LEPIC	
YP_002874.1	
YP_002599.1	
YP_001496.1	
YP_003433.1	
YP_001757.1	
YP_001329.1	
YP_002296.1	
CSRA_LEPIC	
YP_000261.1	
YP_002946.1	
YP_001094.1	
YP_001163.1	
YP_002963.1	
YP_002319.1	
YP_003516.1	
YP_003417.1	
YP_001263.1	
YP_003374.1	
YP_003444.1	
YP_002965.1	
YP_001244.1	
YP_001309.1	
YP_003410.1	
FEOB_LEPIC	
YP_003568.1	
YP_002602.1	
YP_001291.1	
YP_002884.1	
YP_002120.1	
YP_001455.1	
YP_003389.1	
YP_000572.1	
YP_000706.1	
YP_001382.1	
ENGA_LEPIC	
YP_001617.1	
YP_002847.1	
ACPS_LEPIC	
YP_002678.1	
YP_000537.1	
YP_000333.1	
YP_003415.1	
YP_001464.1	
LFTR_LEPIC	
YP_003545.1	
YP_003567.1	
LSPA_LEPIC	
YP_001706.1	
LIPB_LEPIC	
YP_003466.1	
YP_001038.1	
Y016_LEPIC	
YP_003142.1	
UBIE_LEPIC	
YP_003159.1	
YP_000666.1	
YP_003299.1	
YP_001229.1	
YP_000248.1	
YP_002201.1	
YP_002632.1	
YP_003077.1	
YP_001135.1	
YP_002867.1	
YP_002293.1	
YP_000956.1	
YP_003596.1	
YP_001131.1	
YP_000673.1	
YP_001077.1	
YP_001853.1	
YP_002235.1	
YP_003510.1	
YP_001364.1	
YP_000143.1	
YP_002069.1	
YP_003520.1	
YP_003517.1	
YP_003521.1	
YP_002354.1	
SPEE1_LEPIC	
CRCB_LEPIC	
YP_002477.1	
YP_000642.1	
YP_000059.1	
YP_000279.1	
YP_001605.1	
CHEB2_LEPIC	
CBID_LEPIC	
YP_000668.1	
YP_001867.1	
YP_003029.1	
YP_003498.1	
YP_001156.1	
YP_003087.1	
YP_001557.1	
YP_000018.1	
YP_000251.1	
YP_000363.1	
YP_000445.1	
YP_000447.1	
YP_000478.1	
YP_000546.1	
YP_000688.1	
YP_000712.1	
YP_000716.1	
YP_000803.1	
YP_000991.1	
YP_001043.1	
YP_001057.1	
YP_001060.1	
YP_001114.1	
YP_001154.1	
YP_001324.1	
YP_001478.1	
YP_001675.1	
YP_001836.1	
YP_001862.1	
YP_002222.1	
YP_002656.1	
YP_002796.1	
YP_002808.1	
YP_002822.1	
YP_002878.1	
YP_002924.1	
YP_002948.1	
YP_002988.1	
YP_003162.1	
YP_003163.1	
YP_003210.1	
YP_003260.1	
YP_003314.1	
YP_003350.1	
YP_003363.1	
YP_003364.1	
YP_000482.1	
YP_000297.1	
YP_002998.1	
YP_000354.1	
YP_000754.1	
YP_000088.1	
YP_000670.1	
YP_000807.1	
YP_001000.1	
YP_002611.1	
YP_000359.1	
YP_001177.1	
YP_000485.1	
YP_000629.1	
YP_002249.1	
YP_001199.1	
YP_001223.1	
YP_003155.1	
YP_002144.1	
YP_002919.1	
YP_000798.1	
YP_003203.1	
YP_002453.1	
YP_003092.1	
YP_002888.1	
YP_002489.1	
YP_002286.1	
YP_001428.1	
YP_001149.1	
YP_002748.1	
YP_001136.1	
YP_000547.1	
YP_003089.1	
YP_003491.1	
SSB_LEPIC	
YP_000951.1	
YP_002316.1	
YP_001739.1	
YP_003579.1	
YP_003632.1	
SSRP_LEPIC	
YP_000990.1	
YP_002268.1	
YP_001913.1	
YP_000699.1	
YP_003226.1	
YP_003227.1	
YP_003225.1	
YP_000866.1	
YP_000760.1	
YP_000761.1	
YP_000935.1	
YP_000636.1	
YP_002083.1	
UPPP_LEPIC	
YP_000818.1	
Y2105_LEPIC	
Y2416_LEPIC	
Y1564_LEPIC	
Y156_LEPIC	
Y1736_LEPIN	
YP_003011.1	
YP_003194.1	
CH60_LEPIC	14029
YP_000349.1	3961
CARA_LEPIC	351
YP_001924.1	1499
YP_001227.1	1521
ACSA_LEPIC	284
CH10_LEPIC	644
GRPE_LEPIC	383
YP_003436.1	1686
PGK_LEPIC	715
YP_000352.1	456
CARB_LEPIC	615
YP_001889.1	808
PURA_LEPIC	517
YP_001372.1	842
YP_001431.1	347
YP_001751.1	371
YP_001477.1	300
YP_003316.1	308
YP_000592.1	207
PURL_LEPIC	707
YP_001681.1	595
YP_001874.1	64
YP_000720.1	110
YP_001628.1	110
YP_003658.1	242
YP_001571.1	423
YP_003138.1	100
YP_000037.1	439
YP_001385.1	185
YP_001762.1	114
YP_001530.1	273
ASSY_LEPIC	249
YP_000702.1	226
YP_001796.1	158
ARGB_LEPIC	143
YP_002203.1	92
YP_002041.1	89
YP_002692.1	37
YP_002684.1	24
GUAA_LEPIC	277
YP_002709.1	188
THIM_LEPIC	166
YP_001245.1	147
MURD_LEPIC	100
YP_002225.1	96
PUR7_LEPIC	89
MURE_LEPIC	71
PUR2_LEPIC	68
YP_003216.1	57
COAE_LEPIC	54
DDL_LEPIC	50
YP_001493.1	50
YP_002386.1	37
