Accession number	Control (copies/cell Spectral counts)
YP_000763.1	
YP_000764.1	
YP_001311.1	
YP_001310.1	
YP_003281.1	
YP_000497.1	
YP_000487.1	
YP_003069.1	
YP_000254.1	
YP_000255.1	
YP_000724.1	
YP_000725.1	
YP_000861.1	
YP_000862.1	
YP_000863.1	
YP_000864.1	
YP_000865.1	
YP_001001.1	
YP_001410.1	
YP_001411.1	
YP_001412.1	
YP_001432.1	
YP_001433.1	
YP_001434.1	
YP_003067.1	
YP_002974.1	
YP_002980.1	
YP_002981.1	
YP_003023.1	
YP_003024.1	
YP_003025.1	
YP_003068.1	
YP_000640.1	
YP_001002.1	
UVRC_LEPIC	
YP_001519.1	
YP_000035.1	
YP_000350.1	2372
YP_003372.1	897
YP_003420.1	192
YP_002666.1	488
YP_003164.1	226
YP_000137.1	304
YP_002663.1	431
YP_002664.1	166
YP_001784.1	100
YP_002665.1	85
YP_001587.1	34
YP_003326.1	30
YP_003165.1	21
NUOI_LEPIC	14
YP_002794.1	316
QUEF_LEPIC	114
YP_003524.1	50
YP_002662.1	27
YP_003327.1	8
YP_002669.1	8
YP_002672.1	
YP_002671.1	
NUOH_LEPIC	
YP_003129.1	
YP_002670.1	
YP_003476.1	
YP_003237.1	
YP_003526.1	
YP_003323.1	
YP_003322.1	
YP_003325.1	
YP_002661.1	
YP_002668.1	
YP_001316.1	3793
YP_000182.1	992
YP_002879.1	3999
YP_000011.1	804
YP_002972.1	1335
YP_000976.1	464
YP_001601.1	1606
YP_001417.1	292
YP_000119.1	339
YP_003634.1	37
YP_000772.1	85
YP_003506.1	177
YP_000050.1	162
YP_000576.1	118
YP_002865.1	
YP_003317.1	
YP_000875.1	
YP_002891.1	
YP_000521.1	
YP_003380.1	
YP_001839.1	5087
YP_000767.1	1929
YP_000766.1	774
YP_001490.1	2248
FLAB_LEPIC	1156
YP_001228.1	27
YP_001290.1	
YP_001334.1	234
YP_001491.1	591
YP_000608.1	89
YP_000607.1	44
YP_001355.1	71
YP_000606.1	57
YP_003352.1	89
YP_001665.1	230
YP_003354.1	44
YP_001613.1	37
FLGI_LEPIC	155
YP_001341.1	44
YP_003244.1	
YP_000288.1	
YP_001158.1	181
YP_000605.1	166
YP_001785.1	96
YP_001357.1	71
YP_001356.1	47
YP_003353.1	44
YP_000707.1	30
YP_002968.1	24
YP_001848.1	24
YP_001353.1	24
YP_001354.1	17
YP_001795.1	14
YP_000023.1	11
YP_001352.1	11
YP_001335.1	11
YP_001973.1	5
YP_001292.1	
YP_001340.1	
YP_000289.1	
YP_001338.1	
YP_001337.1	
YP_001521.1	
YP_001157.1	
FLIE_LEPIC	
YP_001339.1	
YP_001336.1	
YP_002861.1	
YP_001294.1	
YP_003255.1	
YP_003561.1	
EFTU_LEPIC	7996
ATPB_LEPIC	4785
YP_002962.1	1624
ATPA_LEPIC	3018
EFG_LEPIC	2752
SAHH_LEPIC	1530
IF2_LEPIC	603
YP_001376.1	452
YP_001153.1	169
ATPG_LEPIC	332
YP_000060.1	147
YP_001208.1	54
CHED2_LEPIC	411
YP_002289.1	504
YP_003055.1	92
YP_003388.1	57
YP_000029.1	500
YP_002352.1	162
YP_001209.1	359
YP_001110.1	89
YP_000283.1	71
LEPA_LEPIC	185
YP_002462.1	500
HSLU_LEPIC	64
YP_002213.1	30
YP_003275.1	219
YP_001342.1	75
YP_001965.1	242
YP_000940.1	57
YP_001819.1	37
YP_003469.1	211
HIS2_LEPIC	100
YP_003429.1	351
SURE_LEPIC	269
YP_001659.1	265
GCH1_LEPIC	230
YP_001964.1	196
ATPE_LEPIC	118
YP_002328.1	118
PHL1_LEPIC	110
YP_000211.1	96
YP_001408.1	75
YP_002090.1	40
YP_000339.1	34
YP_001672.1	24
YP_002324.1	281
YP_000134.1	269
YP_001752.1	215
YP_000260.1	181
YP_001076.1	158
YP_000558.1	158
YP_003088.1	151
YP_000189.1	147
YP_000123.1	110
YP_001689.1	96
YP_002406.1	96
IPYR_LEPIC	96
YP_002253.1	96
YP_001284.1	82
YP_002080.1	78
YP_002513.1	75
DUT_LEPIC	61
YP_003086.1	57
YP_001928.1	57
YP_003419.1	57
YP_002989.1	54
YP_003582.1	54
YP_001680.1	54
YP_002842.1	47
YP_000117.1	47
YP_003412.1	47
YP_000651.1	47
YP_002126.1	44
YP_003471.1	40
YP_002247.1	40
ENGC_LEPIC	40
YP_002800.1	34
YP_000184.1	34
YP_001937.1	30
YP_002936.1	30
HIS3_LEPIC	30
YP_001727.1	30
YP_001435.1	21
YP_002096.1	17
YP_001740.1	17
YP_000753.1	17
YP_000900.1	17
COBT_LEPIC	17
YP_001120.1	17
QUEC_LEPIC	17
YP_001426.1	14
YP_002818.1	14
LOLD_LEPIC	14
YP_003026.1	14
YP_003022.1	11
YP_001997.1	11
COBB_LEPIC	11
HAM1_LEPIC	11
YP_002364.1	11
YP_001957.1	8
YP_002077.1	8
YP_000721.1	8
YP_000337.1	8
YP_000587.1	8
YP_001151.1	8
YP_003459.1	8
YP_000072.1	5
YP_001564.1	5
YP_002416.1	5
YP_003090.1	
YP_001474.1	
YP_003171.1	
YP_001856.1	
YP_000713.1	
YP_001303.1	
YP_003398.1	
YP_001584.1	
YP_000489.1	
YP_003058.1	
YP_002449.1	
YP_001113.1	
YP_003512.1	
YP_002522.1	
YP_001392.1	
YP_001073.1	
YP_001207.1	
YP_002155.1	
DGTL1_LEPIC	
YP_000377.1	
YP_000577.1	
YP_000582.1	
YP_001283.1	
YP_002414.1	
YP_002078.1	
YP_000089.1	
CHED1_LEPIC	
YP_000963.1	
YP_001649.1	
YP_003074.1	2478
YP_002544.1	1486
YP_001797.1	2368
YP_001908.1	136
YP_003427.1	423
YP_002123.1	649
YP_000982.1	732
YP_003219.1	320
YP_000535.1	196
YP_000206.1	147
YP_002737.1	1287
YP_002009.1	1086
YP_002388.1	541
YP_001242.1	611
YP_003470.1	257
YP_000304.1	423
YP_000178.1	17
YP_000656.1	699
YP_003576.1	632
YP_000064.1	335
YP_001178.1	249
YP_003585.1	488
YP_001044.1	89
YP_001193.1	82
YP_001459.1	162
YP_001450.1	324
YP_001794.1	169
YP_000853.1	75
YP_002612.1	44
YP_000180.1	
YP_000155.1	47
YP_003544.1	200
YP_003256.1	177
YP_001059.1	107
YP_000646.1	114
YP_001166.1	504
YP_003488.1	288
YP_001368.1	281
YP_002166.1	47
YP_000113.1	82
YP_002198.1	889
YP_003625.1	328
YP_002329.1	147
YP_000467.1	665
YP_001793.1	82
YP_003337.1	162
YP_002871.1	192
YP_000202.1	30
YP_000674.1	96
YP_000585.1	699
YP_000366.1	107
YP_001645.1	54
YP_002532.1	
YP_000470.1	125
YP_002530.1	11
YP_002531.1	
YP_000740.1	419
YP_000175.1	
YP_000158.1	27
YP_002211.1	14
YP_002142.1	118
YP_000223.1	37
YP_002376.1	50
YP_000893.1	351
YP_000226.1	129
YP_001241.1	61
YP_003218.1	89
YP_002331.1	40
YP_001655.1	136
YP_000648.1	226
YP_000120.1	399
YP_002259.1	312
YP_002124.1	96
YP_000172.1	
YP_000825.1	211
YP_001595.1	443
YP_001583.1	188
YP_001429.1	40
YP_003422.1	8
YP_001609.1	103
YP_001702.1	395
YP_000210.1	
YP_002128.1	403
YP_000769.1	44
YP_003428.1	17
YP_002533.1	37
YP_000855.1	30
YP_003313.1	8
YP_000542.1	75
YP_000401.1	196
YP_002113.1	34
YP_000217.1	541
YP_002983.1	1283
YP_002345.1	246
YP_000959.1	103
YP_003001.1	68
YP_002300.1	17
YP_001577.1	166
YP_002718.1	21
YP_000538.1	85
YP_001029.1	21
YP_002850.1	447
YP_002493.1	246
YP_001132.1	265
YP_000689.1	24
YP_000165.1	11
YP_000424.1	11
YP_001921.1	30
YP_001960.1	
YP_001298.1	110
YP_000338.1	347
YP_002281.1	11
YP_000752.1	492
YP_003120.1	300
YP_001066.1	82
YP_001900.1	200
YP_002660.1	24
YP_002417.1	40
YP_002722.1	54
YP_000496.1	177
YP_001594.1	125
YP_002005.1	14
YP_002273.1	82
YP_001927.1	11
YP_001622.1	21
YP_000173.1	11
YP_003424.1	219
YP_000466.1	68
YP_002500.1	78
YP_002004.1	273
YP_001495.1	151
YP_000222.1	17
YP_003547.1	40
YP_001460.1	439
YP_003537.1	21
YP_003527.1	11
YP_000373.1	96
YP_002252.1	92
YP_002179.1	34
YP_000694.1	34
YP_001398.1	30
YP_000411.1	54
YP_000448.1	914
YP_000017.1	92
YP_000583.1	44
YP_000639.1	34
YP_001326.1	92
YP_002182.1	
YP_003204.1	21
YP_000068.1	75
YP_000745.1	118
YP_001006.1	40
YP_003346.1	92
YP_001005.1	8
YP_001286.1	5
YP_000235.1	147
YP_000449.1	553
YP_001975.1	443
YP_001016.1	277
YP_002260.1	261
YP_000647.1	226
YP_000308.1	211
YP_003036.1	203
YP_001037.1	177
YP_000624.1	132
YP_002018.1	132
YP_000505.1	129
YP_000921.1	121
YP_000961.1	121
YP_002934.1	118
YP_001369.1	110
YP_002368.1	107
YP_000718.1	103
YP_002269.1	103
YP_002171.1	100
YP_000130.1	92
YP_001593.1	92
YP_003391.1	89
YP_002303.1	85
YP_003265.1	82
YP_000012.1	75
YP_000958.1	75
YP_001553.1	71
YP_002459.1	71
YP_000092.1	68
YP_000101.1	68
YP_000645.1	68
YP_001333.1	68
YP_001573.1	68
YP_003442.1	68
YP_001147.1	61
YP_000145.1	57
YP_000347.1	54
YP_000722.1	54
YP_002116.1	54
YP_002887.1	47
YP_003310.1	44
YP_001239.1	40
YP_001397.1	40
YP_002996.1	40
YP_003556.1	40
