Accession number	Control (copies/cell MS1)
YP_002539.1	
YP_000166.1	131
YP_002523.1	145
YP_002526.1	
YP_002536.1	
YP_002525.1	
YP_002528.1	
YP_002524.1	69
YP_000159.1	
YP_000177.1	
YP_002499.1	1064
YP_003395.1	306
YP_001800.1	
YP_001052.1	220
YP_002679.1	
YP_000962.1	
YP_000695.1	
YP_002333.1	
YP_002574.1	
YP_001929.1	
YP_000926.1	
YP_001067.1	
YP_003356.1	
YP_001146.1	
YP_001257.1	
YP_001873.1	
YP_000486.1	
YP_001982.1	
YP_002194.1	
YP_000494.1	
YP_001150.1	
YP_001465.1	
YP_001618.1	
YP_002407.1	
YP_002441.1	
YP_002815.1	
YP_002854.1	
YP_002909.1	
YP_003386.1	
YP_003595.1	
YP_003621.1	
YP_003622.1	
YP_002003.1	
YP_001469.1	
YP_002307.1	
YP_000181.1	
YP_000802.1	
YP_000479.1	
YP_002472.1	1083
YP_001152.1	753
HFQ_LEPIC	2040
YP_000150.1	369
YP_003659.1	207
Y1156_LEPIC	
YP_001954.1	
YP_003387.1	
YP_001317.1	
YP_000905.1	
YP_003413.1	
YP_000160.1	
YP_000881.1	
YP_002583.1	
YP_003497.1	
YP_003496.1	
YP_001554.1	
YP_003292.1	
YP_000157.1	
RECA_LEPIC	660
YP_002622.1	1821
YP_001743.1	1382
YP_002046.1	1339
YP_003253.1	879
NRDJ_LEPIC	438
YP_003252.1	590
YP_000006.1	536
YP_001639.1	256
YP_000005.1	571
YP_001111.1	316
YP_000243.1	196
UVRA_LEPIC	377
YP_003170.1	200
Y2886_LEPIC	149
YP_001911.1	
UVRB_LEPIC	
XERD_LEPIC	
YP_003490.1	
YP_002343.1	
YP_002442.1	
YP_003189.1	
YP_002043.1	
YP_001112.1	
YP_001118.1	
MUTS_LEPIC	
SCPA_LEPIC	
RUVB_LEPIC	
RECR_LEPIC	
EX7S_LEPIC	
YP_001036.1	
YP_001582.1	
YP_001413.1	
EX7L_LEPIC	
YP_001684.1	
YP_000903.1	
YP_002610.1	
YP_002512.1	
YP_001711.1	
YP_000652.1	
YP_001295.1	
YP_001226.1	
RNC_LEPIC	
YP_002607.1	
YP_002585.1	
YP_003279.1	
YP_000229.1	
YP_002294.1	
YP_002976.1	
DNAA_LEPIC	
YP_000406.1	
YP_002608.1	
YP_002609.1	
YP_003085.1	
YP_001991.1	
YP_002642.1	
YP_000557.1	
YP_000975.1	
YP_002641.1	
YP_001525.1	
YP_001510.1	
YP_002801.1	
YP_000954.1	
YP_000763.1	
YP_000764.1	
YP_001311.1	
YP_001310.1	
YP_003281.1	
YP_000497.1	
YP_000487.1	
YP_003069.1	
YP_000254.1	
YP_000255.1	
YP_000724.1	
YP_000725.1	
YP_000861.1	
YP_000862.1	
YP_000863.1	
YP_000864.1	
YP_000865.1	
YP_001001.1	
YP_001410.1	
YP_001411.1	
YP_001412.1	
YP_001432.1	
YP_001433.1	
YP_001434.1	
YP_003067.1	
YP_002974.1	
YP_002980.1	
YP_002981.1	
YP_003023.1	
YP_003024.1	
YP_003025.1	
YP_003068.1	
YP_000640.1	
YP_001002.1	
UVRC_LEPIC	
YP_001519.1	
YP_000035.1	
YP_000350.1	4586
YP_003372.1	5118
YP_003420.1	702
YP_002666.1	798
YP_003164.1	479
YP_000137.1	384
YP_002663.1	323
YP_002664.1	193
YP_001784.1	
YP_002665.1	
YP_001587.1	
YP_003326.1	
YP_003165.1	
NUOI_LEPIC	
YP_002794.1	
